"Country","Response_measure","date_start","date_end"
"Austria","ClosDaycare",2020-03-16,2020-05-04
"Austria","ClosDaycarePartial",2020-11-17,NA
"Austria","ClosHigh",2020-03-16,2020-09-30
"Austria","ClosHigh",2020-11-03,NA
"Austria","ClosPrim",2020-03-16,2020-05-18
"Austria","ClosPrimPartial",2020-11-17,NA
"Austria","ClosPubAny",2020-03-16,2020-04-13
"Austria","ClosPubAnyPartial",2020-04-14,NA
"Austria","ClosSec",2020-03-16,2020-05-03
"Austria","ClosSec",2020-11-03,NA
"Austria","ClosSecPartial",2020-05-04,2020-06-03
"Austria","MasksMandatory",2020-04-06,2020-04-30
"Austria","MasksMandatory",2020-09-14,NA
"Austria","MasksMandatoryPartial",2020-05-01,2020-09-13
"Austria","MasksVoluntaryPartial",2020-03-31,2020-04-05
"Austria","MassGatherAll",2020-03-10,2020-07-31
"Austria","MassGatherAll",2020-09-21,NA
"Austria","StayHomeGen",2020-03-10,2020-03-15
"Austria","StayHomeOrder",2020-03-16,2020-04-30
"Austria","StayHomeOrder",2020-11-17,NA
"Austria","StayHomeOrderPartial",2020-11-03,2020-11-16
"Austria","TeleworkingClosures",2020-03-10,NA
"Belgium","ClosDaycare",2020-05-01,2020-06-02
"Belgium","ClosDaycare",2020-11-12,2020-11-16
"Belgium","ClosHigh",2020-03-13,NA
"Belgium","ClosPrim",2020-03-13,2020-05-17
"Belgium","ClosPrim",2020-11-12,2020-11-16
"Belgium","ClosPrimPartial",2020-05-18,2020-06-08
"Belgium","ClosPubAny",2020-03-13,2020-05-03
"Belgium","ClosPubAnyPartial",2020-05-04,NA
"Belgium","ClosSec",2020-03-13,2020-05-17
"Belgium","ClosSec",2020-11-12,2020-11-15
"Belgium","ClosSecPartial",2020-05-18,2020-08-28
"Belgium","ClosSecPartial",2020-11-16,NA
"Belgium","MasksMandatory",2020-05-04,NA
"Belgium","MassGatherAll",2020-03-10,2020-03-17
"Belgium","MassGatherAll",2020-07-01,NA
"Belgium","StayHomeGenPartial",2020-05-11,2020-08-31
"Belgium","StayHomeOrder",2020-03-18,2020-05-10
"Belgium","StayHomeOrderPartial",2020-10-16,NA
"Belgium","TeleworkingClosures",2020-03-10,2020-06-07
"Belgium","TeleworkingClosures",2020-10-19,NA
"Belgium","TeleworkingClosuresPartial",2020-06-08,2020-10-18
"Bulgaria","ClosDaycare",2020-03-13,2020-05-21
"Bulgaria","ClosDaycarePartial",2020-05-22,2020-06-14
"Bulgaria","ClosHigh",2020-03-13,2020-05-31
"Bulgaria","ClosHighPartial",2020-06-01,NA
"Bulgaria","ClosPrim",2020-03-13,NA
"Bulgaria","ClosPubAny",2020-03-13,2020-05-17
"Bulgaria","ClosPubAnyPartial",2020-05-18,NA
"Bulgaria","ClosSec",2020-03-13,NA
"Bulgaria","MasksMandatory",2020-03-30,2020-03-31
"Bulgaria","MasksMandatory",2020-04-12,2020-06-14
"Bulgaria","MasksMandatoryPartial",2020-06-15,NA
"Bulgaria","MassGather50Partial",2020-03-13,NA
"Bulgaria","MassGatherAll",2020-03-08,2020-03-12
"Bulgaria","MassGatherAllPartial",2020-03-13,NA
"Bulgaria","StayHomeRiskG",2020-03-17,NA
"Bulgaria","TeleworkingClosures",2020-03-13,2020-11-13
"Bulgaria","TeleworkingClosuresPartial",2020-11-14,NA
"Croatia","ClosDaycare",2020-03-16,2020-05-11
"Croatia","ClosHigh",2020-03-16,NA
"Croatia","ClosPrim",2020-03-16,2020-05-10
"Croatia","ClosPrimPartial",2020-05-11,2020-05-25
"Croatia","ClosPubAny",2020-03-19,2020-05-28
"Croatia","ClosPubAnyPartial",2020-08-14,2020-09-22
"Croatia","ClosSec",2020-03-16,NA
"Croatia","MasksMandatory",2020-02-28,2020-06-24
"Croatia","MasksMandatoryPartial",2020-06-25,NA
"Croatia","MassGather50Partial",2020-08-24,NA
"Croatia","MassGatherAll",2020-03-19,2020-08-23
"Croatia","MassGatherAllPartial",2020-08-24,NA
"Croatia","StayHomeGen",2020-03-17,2020-05-05
"Croatia","StayHomeRiskG",2020-03-03,NA
"Croatia","TeleworkingClosures",2020-03-19,2020-05-27
"Cyprus","ClosDaycare",2020-03-10,2020-06-09
"Cyprus","ClosHigh",2020-03-10,2020-05-11
"Cyprus","ClosPrim",2020-03-10,2020-05-21
"Cyprus","ClosPubAny",2020-03-13,2020-05-03
"Cyprus","ClosPubAnyPartial",2020-05-04,2020-06-29
"Cyprus","ClosPubAnyPartial",2020-11-05,NA
"Cyprus","ClosSec",2020-03-10,2020-05-10
"Cyprus","ClosSecPartial",2020-05-11,2020-05-21
"Cyprus","MasksMandatory",2020-05-04,NA
"Cyprus","MassGatherAll",2020-03-10,NA
"Cyprus","StayHomeOrder",2020-03-24,2020-05-03
"Cyprus","StayHomeOrderPartial",2020-05-04,2020-05-21
"Cyprus","StayHomeOrderPartial",2020-11-05,NA
"Cyprus","TeleworkingClosures",2020-03-16,2020-04-14
"Cyprus","TeleworkingClosuresPartial",2020-04-15,2020-06-29
"Czechia","ClosDaycare",2020-03-11,2020-05-11
"Czechia","ClosHigh",2020-03-11,2020-05-10
"Czechia","ClosHigh",2020-10-14,2020-11-20
"Czechia","ClosHighPartial",2020-05-11,2020-08-31
"Czechia","ClosPrim",2020-03-11,2020-06-07
"Czechia","ClosPrim",2020-10-14,2020-11-17
