"date","region","population","total_responses","pct_cli","pct_cli_smooth","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom"
2020-05-08,"ESAN",8414240,418,0.49,0.563080504697372,2.0482,NA,0.517966627296848,43582.9551406623,43582.9551406623,47378.9450584481,47378.9450584481,1000
2020-05-09,"ESAN",8414240,460,0.89,0.561386526501579,4.094,NA,0.518827655846678,43655.4041493136,87238.3592899759,47236.4096675065,94615.3547259546,1000
2020-05-10,"ESAN",8414240,499,0.41,0.559745263613219,2.0459,NA,0.519688684396509,43727.8531579648,130966.212447941,47098.3098690489,141713.664595004,1000
2020-05-11,"ESAN",8414240,463,0.44,0.558153137448612,2.0372,NA,0.520549712946339,43800.302166616,174766.514614557,46964.3445524561,188678.00914746,1000
2020-05-12,"ESAN",8414240,442,0.69,0.556606569424081,3.0498,NA,0.521410741496169,43872.7511752672,218639.265789824,46834.2126071088,235512.221754568,1000
2020-05-13,"ESAN",8414240,434,0.94,0.555101980955949,4.0796,NA,0.522271770045999,43945.2001839185,262584.465973742,46707.6129223878,282219.834676956,1000
2020-05-14,"ESAN",8414240,494,1.02,0.553635793460538,5.0388,NA,0.523132798595829,44017.6491925697,306602.115166312,46584.244387674,328804.07906463,1000
2020-05-15,"ESAN",8414240,539,0.56,0.55220442835417,3.0184,NA,0.523993827145659,44090.0982012209,350692.213367533,46463.8058923479,375267.884956978,1000
2020-05-16,"ESAN",8414240,490,0.61,0.550804307053169,2.989,NA,0.524854855695489,44162.5472098721,394854.760577405,46345.9963257905,421613.881282769,1000
2020-05-17,"ESAN",8414240,460,0.44,0.549431850973856,2.024,0.531051587301587,0.525716338787239,44235.0344647714,439089.795042176,46230.5145773825,467844.395860151,1000
2020-05-18,"ESAN",8414240,410,0,0.548083481532554,0,NA,0.526628327001304,44311.7713418745,483401.566384051,46117.0595365047,513961.455396656,1000
2020-05-19,"ESAN",8414240,491,0.2,0.546755620145585,0.982,NA,0.52761569809199,44394.8511151354,527796.417499186,46005.3300925379,559966.785489194,1000
2020-05-20,"ESAN",8414240,457,0.66,0.545444688229273,3.0162,NA,0.528665584239485,44483.1910553124,572279.608554499,45895.0251348627,605861.810624056,1000
2020-05-21,"ESAN",8414240,347,0.87,0.544147107199938,3.0189,NA,0.529765117623978,44575.7084331638,616855.316987663,45785.8435528601,651647.654176917,1000
2020-05-22,"ESAN",8414240,371,0.54,0.542859298473905,2.0034,NA,0.53090143042566,44671.320519448,661526.637507111,45677.4842359107,697325.138412827,1000
2020-05-23,"ESAN",8414240,417,0.48,0.541577683467495,2.0016,NA,0.532061654824717,44768.9445849233,706295.582092034,45569.6460733954,742894.784486223,1000
2020-05-24,"ESAN",8414240,505,0,0.540298683597031,0,NA,0.533232923001341,44867.497900348,751163.079992382,45462.0279546949,788356.812440918,1000
2020-05-25,"ESAN",8414240,469,0.65,0.539018720278836,3.0485,NA,0.534402367135718,44965.8977364805,796128.977728862,45354.3287691899,833711.141210107,1000
2020-05-26,"ESAN",8414240,402,0.25,0.537734214929231,1.005,NA,0.53555711940804,45063.0613640791,841192.039092942,45246.2474062613,878957.388616369,1000
2020-05-27,"ESAN",8414240,371,0.81,0.536441588964539,3.0051,NA,0.536684311998494,45157.9060539021,886349.945146844,45137.4827552898,924094.871371659,1000
2020-05-28,"ESAN",8414240,361,0,0.535137263801084,0,NA,0.53777107708727,45249.3490767079,931599.294223551,45027.7337056563,969122.605077315,1000
2020-05-29,"ESAN",8414240,394,0.25,0.533817660855186,0.985,NA,0.538804546854556,45336.3077032548,976935.601926806,44916.6991467414,1014039.30422406,1000
2020-05-30,"ESAN",8414240,395,1.02,0.532479201543169,4.029,NA,0.539771853480541,45417.6992043011,1022353.30113111,44804.077967926,1058843.38219198,1000
2020-05-31,"ESAN",8414240,418,0.96,0.531118307281355,4.0128,NA,0.540660129145416,45492.4408506052,1067845.74198171,44689.5690585907,1103532.95125057,1000
2020-06-01,"ESAN",8414240,344,0.29,0.529731399486067,0.9976,NA,0.541456506029368,45559.4499129255,1113405.19189464,44572.8713081165,1148105.82255869,1000
2020-06-02,"ESAN",8414240,398,0.25,0.528314899573628,0.995,NA,0.542148116312586,45617.6436620202,1159022.83555666,44453.683605884,1192559.50616457,1000
2020-06-03,"ESAN",8414240,377,0.27,0.526865228960358,1.0179,NA,0.542722092175261,45665.9393686476,1204688.77492531,44331.704841274,1236891.21100585,1000
2020-06-04,"ESAN",8414240,436,0,0.525378809062582,0,NA,0.54316556579758,45703.2543035663,1250392.02922887,44206.6339036674,1281097.84490951,1000
2020-06-05,"ESAN",8414240,387,0.26,0.523852061296621,1.0062,NA,0.543465669359732,45728.5057375343,1296120.53496641,44078.1696824448,1325176.01459196,1000
2020-06-06,"ESAN",8414240,384,0.52,0.522281407078799,1.9968,NA,0.543609535041907,45740.6109413102,1341861.14590772,43946.0110669871,1369122.02565895,1000
2020-06-07,"ESAN",8414240,450,0.67,0.520663267825436,3.015,0.517699885452463,0.543584295024294,45738.4871856522,1387599.63309337,43809.856946675,1412931.88260562,1000
