"signal","abs_error"
"pct_cli",3.22185853937583
"pct_ili",3.32493983123604
"pct_fever",3.10756422399198
"pct_cough",3.54937798874622
"pct_difficulty_breathing",3.70486208052224
"pct_fatigue",4.11867172019412
"pct_stuffy_runny_nose",3.58668721586754
"pct_aches_muscle_pain",3.71781359132954
"pct_sore_throat",3.51439988592879
"pct_chest_pain",3.44698657190547
"pct_nausea",3.38858538141035
"pct_anosmia_ageusia",3.13482270184655
"pct_eye_pain",3.67706181683241
"pct_headache",3.54390745149165
"pct_cmnty_sick",3.18673096104156
"pct_ever_tested",4.11281201902416
"pct_tested_recently",3.61983547349512
"pct_worked_outside_home",3.86363329944784
"pct_grocery_outside_home",3.88471291724089
"pct_ate_outside_home",4.46841713992977
"pct_spent_time_with_non_hh",4.37048234941303
"pct_attended_public_event",3.58395180861795
"pct_used_public_transit",3.40498096099878
"pct_direct_contact_with_non_hh",4.177853523047
"pct_wear_mask_all_time",3.99104166341517
"pct_wear_mask_most_time",4.25018317164552
"pct_wear_mask_half_time",3.33166782978231
"pct_wear_mask_some_time",3.23990747958805
"pct_wear_mask_none_time",2.08265762801786
"pct_no_public",3.03620088280868
"pct_feel_nervous_all_time",3.60490431114809
"pct_feel_nervous_most_time",3.29957213781301
"pct_feel_nervous_some_time",3.6685819835603
"pct_feel_nervous_little_time",3.7035332158202
"pct_feel_nervous_none_time",3.95874285861153
"pct_feel_depressed_all_time",3.65171613462032
"pct_feel_depressed_most_time",3.47940211359816
"pct_feel_depressed_some_time",3.45528157541661
"pct_feel_depressed_little_time",3.68685314442887
"pct_feel_depressed_none_time",4.03384289983236
"pct_worried_ill_covid19_very",3.70992068692298
"pct_worried_ill_covid19_somewhat",3.94258848996407
"pct_worried_ill_covid19_notTooWorried",3.81843177581607
"pct_worried_ill_covid19_notWorried",3.76958150838572
"pct_enough_toEat_very_worried",3.98289859371663
"pct_enough_toEat_somewhat_worried",3.58960822144035
"pct_enough_toEat_notToo_worried",3.80162432499556
"pct_enough_toEat_not_worried",3.88366818989559
"pct_chills",2.78041062995999
"population",3.87342760606355
"number_signal_pct",4.8698495185355
"batched_pct_cli",3.19531779523179
"batched_pct_cli_smooth",3.38538540427703
"batched_pct_cli_smooth_low",3.50325904415104
"batched_pct_cli_smooth_high",3.36945461147762
"pct_cli_smooth",3.09893618826262
"pct_cli_smooth_low",6.46853955836212
"pct_cli_smooth_high",2.68409080106523
"batched_pct_ili",3.23501803828611
"batched_pct_ili_smooth",3.33433174682173
"batched_pct_ili_smooth_low",3.35061935886343
"batched_pct_ili_smooth_high",3.36252927052282
"pct_ili_smooth",3.41249080016964
"pct_ili_smooth_low",4.07246608167055
"pct_ili_smooth_high",3.23557188416694
"batched_pct_fever",3.10988935815546
"batched_pct_fever_smooth",3.48136266984297
"batched_pct_fever_smooth_low",3.88623820556454
"batched_pct_fever_smooth_high",3.3133516194268
"pct_fever_smooth",3.4339780550239
"pct_fever_smooth_low",3.7185187795412
"pct_fever_smooth_high",3.29035180580558
"batched_pct_cough",3.56987336043741
"batched_pct_cough_smooth",3.69970751850919
"batched_pct_cough_smooth_low",3.73052486713464
"batched_pct_cough_smooth_high",3.67425992627097
"pct_cough_smooth",3.64861686006778
"pct_cough_smooth_low",3.7549692837078
"pct_cough_smooth_high",3.56152265493518
"batched_pct_difficulty_breathing",3.71874686427619
"batched_pct_difficulty_breathing_smooth",3.61630468020724
"batched_pct_difficulty_breathing_smooth_low",3.64907658165874
"batched_pct_difficulty_breathing_smooth_high",3.59307553591124
"pct_difficulty_breathing_smooth",3.65253135337846
"pct_difficulty_breathing_smooth_low",3.75720927868615
"pct_difficulty_breathing_smooth_high",3.57321812935109
"batched_pct_fatigue",4.16564040646188
"batched_pct_fatigue_smooth",4.03684892636709
"batched_pct_fatigue_smooth_low",4.08595778902713
"batched_pct_fatigue_smooth_high",3.99462363978456
"pct_fatigue_smooth",4.08579401774889
"pct_fatigue_smooth_low",4.13529945064903
"pct_fatigue_smooth_high",4.0427590390594
"batched_pct_stuffy_runny_nose",3.58358227882539
"batched_pct_stuffy_runny_nose_smooth",3.69759907959084
"batched_pct_stuffy_runny_nose_smooth_low",3.71112420562375
"batched_pct_stuffy_runny_nose_smooth_high",3.68669690638731
"pct_stuffy_runny_nose_smooth",3.54685034934977
"pct_stuffy_runny_nose_smooth_low",3.55761849040868
"pct_stuffy_runny_nose_smooth_high",3.53836057668444
"batched_pct_aches_muscle_pain",3.73215106719779
"batched_pct_aches_muscle_pain_smooth",3.77551304544075
"batched_pct_aches_muscle_pain_smooth_low",3.83829040688603
