"signal","estimate","pvalue"
"pct_cli",0.346527768638348,0.00379356219803324
"pct_ili",0.288958577413642,0.0168548208859221
"pct_fever",0.341892911866385,0.00432289372335755
"pct_cough",0.0397977324783893,0.74728316270756
"pct_difficulty_breathing",-0.259171849429033,0.0328284522741413
"pct_fatigue",-0.114991188161171,0.350425766759544
"pct_stuffy_runny_nose",-0.0204879941440394,0.868288044765335
"pct_aches_muscle_pain",0.157552644276099,0.199437337006157
"pct_sore_throat",0.190503647104444,0.119685079678921
"pct_chest_pain",0.249882877789917,0.0398683377847331
"pct_nausea",0.0105896128536001,0.931698873575696
"pct_anosmia_ageusia",0.262721505151885,0.0304283574510978
"pct_eye_pain",0.273245186621458,0.0241613038741778
"pct_headache",0.429009605804829,0.000261905695080328
"pct_cmnty_sick",0.520295688265414,5.42283100466233e-06
"pct_ever_tested",-0.468127076141745,5.6834627892036e-05
"pct_tested_recently",0.407007325141279,0.000572202184075177
"pct_worked_outside_home",-0.44129019742824,0.000165353965045179
"pct_grocery_outside_home",-0.488195157513507,2.40804972431788e-05
"pct_ate_outside_home",-0.560808750986819,6.55908480259004e-07
"pct_spent_time_with_non_hh",-0.699753800671464,3.15245211951154e-11
"pct_attended_public_event",-0.393891805917781,0.0008894522244411
"pct_used_public_transit",-0.194723024302447,0.111557811620617
"pct_direct_contact_with_non_hh",-0.656162859070023,1.24586658246976e-09
"pct_wear_mask_all_time",-0.478412238478068,3.68452601555645e-05
"pct_wear_mask_most_time",-0.167798074099404,0.171385737217999
"pct_wear_mask_half_time",0.348641027402779,0.00357192944009356
"pct_wear_mask_some_time",0.429612459684427,0.000256162878612347
"pct_wear_mask_none_time",0.597770480372749,7.35823134202514e-08
"pct_no_public",0.710531860867547,1.14560371587946e-11
"pct_feel_nervous_all_time",0.248424181227181,0.0410800039140053
"pct_feel_nervous_most_time",0.457219574360053,8.8670427324876e-05
"pct_feel_nervous_some_time",0.468363835892045,5.62791173801347e-05
"pct_feel_nervous_little_time",0.241287310805748,0.0474556850396931
"pct_feel_nervous_none_time",-0.478244243494009,3.71111773932293e-05
"pct_feel_depressed_all_time",0.1236131278867,0.315234118967514
"pct_feel_depressed_most_time",0.531445484341288,3.11552607693113e-06
"pct_feel_depressed_some_time",0.530388868222489,3.28631729287566e-06
"pct_feel_depressed_little_time",0.372327397451663,0.00176835699343403
"pct_feel_depressed_none_time",-0.535126247262033,2.5833029160997e-06
"pct_worried_ill_covid19_very",0.438885346908992,0.000181186694366637
"pct_worried_ill_covid19_somewhat",-0.232036441723107,0.0569072621873759
"pct_worried_ill_covid19_notTooWorried",-0.327530144207764,0.00640189415269468
"pct_worried_ill_covid19_notWorried",-0.218172216419731,0.0738828762626809
"pct_enough_toEat_very_worried",0.28894672956361,0.0168595202825982
"pct_enough_toEat_somewhat_worried",0.157079693184789,0.200807011087956
"pct_enough_toEat_notToo_worried",0.30150796976392,0.0124668878218901
"pct_enough_toEat_not_worried",-0.273331397827436,0.0241148656413685
"pct_chills",0.127061713310151,0.301817171856766
"population",0.0324887382633092,0.79254177101722
"number_signal_pct",-0.317482307148426,0.00833673279954994
"batched_pct_cli",0.399313716583119,0.000742801149860206
"batched_pct_cli_smooth",0.37048872749789,0.00187109886739277
"batched_pct_cli_smooth_low",0.0500097643051344,0.685478244623927
