"","X","country_agg","GID_0","gender","age_bucket","date","total_responses","weight_sums","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_cli_weighted_sums","pct_ili_weighted_sums","pct_fever_weighted_sums","pct_cough_weighted_sums","pct_difficulty_breathing_weighted_sums","pct_fatigue_weighted_sums","pct_stuffy_runny_nose_weighted_sums","pct_aches_muscle_pain_weighted_sums","pct_sore_throat_weighted_sums","pct_chest_pain_weighted_sums","pct_nausea_weighted_sums","pct_anosmia_ageusia_weighted_sums","pct_eye_pain_weighted_sums","pct_headache_weighted_sums","pct_cmnty_sick_weighted_sums","pct_ever_tested_weighted_sums","pct_tested_recently_weighted_sums","pct_worked_outside_home_weighted_sums","pct_grocery_outside_home_weighted_sums","pct_ate_outside_home_weighted_sums","pct_spent_time_with_non_hh_weighted_sums","pct_attended_public_event_weighted_sums","pct_used_public_transit_weighted_sums","pct_direct_contact_with_non_hh_weighted_sums","pct_wear_mask_all_time_weighted_sums","pct_wear_mask_most_time_weighted_sums","pct_wear_mask_half_time_weighted_sums","pct_wear_mask_some_time_weighted_sums","pct_wear_mask_none_time_weighted_sums","pct_no_public_weighted_sums","pct_feel_nervous_all_time_weighted_sums","pct_feel_nervous_most_time_weighted_sums","pct_feel_nervous_some_time_weighted_sums","pct_feel_nervous_little_time_weighted_sums","pct_feel_nervous_none_time_weighted_sums","pct_feel_depressed_all_time_weighted_sums","pct_feel_depressed_most_time_weighted_sums","pct_feel_depressed_some_time_weighted_sums","pct_feel_depressed_little_time_weighted_sums","pct_feel_depressed_none_time_weighted_sums","pct_worried_ill_covid19_very_weighted_sums","pct_worried_ill_covid19_somewhat_weighted_sums","pct_worried_ill_covid19_notTooWorried_weighted_sums","pct_worried_ill_covid19_notWorried_weighted_sums","pct_enough_toEat_very_worried_weighted_sums","pct_enough_toEat_somewhat_worried_weighted_sums","pct_enough_toEat_notToo_worried_weighted_sums","pct_enough_toEat_not_worried_weighted_sums","pct_cli_weighted","pct_ili_weighted","pct_fever_weighted","pct_cough_weighted","pct_difficulty_breathing_weighted","pct_fatigue_weighted","pct_stuffy_runny_nose_weighted","pct_aches_muscle_pain_weighted","pct_sore_throat_weighted","pct_chest_pain_weighted","pct_nausea_weighted","pct_anosmia_ageusia_weighted","pct_eye_pain_weighted","pct_headache_weighted","pct_cmnty_sick_weighted","pct_ever_tested_weighted","pct_tested_recently_weighted","pct_worked_outside_home_weighted","pct_grocery_outside_home_weighted","pct_ate_outside_home_weighted","pct_spent_time_with_non_hh_weighted","pct_attended_public_event_weighted","pct_used_public_transit_weighted","pct_direct_contact_with_non_hh_weighted","pct_wear_mask_all_time_weighted","pct_wear_mask_most_time_weighted","pct_wear_mask_half_time_weighted","pct_wear_mask_some_time_weighted","pct_wear_mask_none_time_weighted","pct_no_public_weighted","pct_feel_nervous_all_time_weighted","pct_feel_nervous_most_time_weighted","pct_feel_nervous_some_time_weighted","pct_feel_nervous_little_time_weighted","pct_feel_nervous_none_time_weighted","pct_feel_depressed_all_time_weighted","pct_feel_depressed_most_time_weighted","pct_feel_depressed_some_time_weighted","pct_feel_depressed_little_time_weighted","pct_feel_depressed_none_time_weighted","pct_worried_ill_covid19_very_weighted","pct_worried_ill_covid19_somewhat_weighted","pct_worried_ill_covid19_notTooWorried_weighted","pct_worried_ill_covid19_notWorried_weighted","pct_enough_toEat_very_worried_weighted","pct_enough_toEat_somewhat_worried_weighted","pct_enough_toEat_notToo_worried_weighted","pct_enough_toEat_not_worried_weighted","pct_chills","pct_chills_weighted_sums","pct_chills_weighted","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_finances_very_worried_weighted_sums","pct_finances_somewhat_worried_weighted_sums","pct_finances_notToo_worried_weighted_sums","pct_finances_not_worried_weighted_sums","pct_finances_very_worried_weighted","pct_finances_somewhat_worried_weighted","pct_finances_notToo_worried_weighted","pct_finances_not_worried_weighted"
"1",446,"Poland","POL","female","18-34","2020-04-23",60,3646306.19,0,0,0,13.33,5,46.67,41.67,20,10,1.67,8.33,0,18.33,38.33,1.67,1.69,0,25,50,3.33,30,5,10,33.33,70,11.67,3.33,0,3.33,11.67,1.72,6.9,13.79,25.86,51.72,5.17,6.9,13.79,27.59,46.55,21.67,53.33,11.67,10,1.67,15,25,58.33,0,0,0,41707853.56,15617607.65,192719573.67,151011055.31,61374541.89,25031428.48,5408874.39,23712759.87,0,59632044.09,133646310.21,4157960.11,302309.15,0,113604546.71,202329179.78,25693169.11,119304446.8,22550282.29,60153426.32,158514615.21,255428285.59,37958491.53,19025045.19,0,25293603.35,26925193.23,8262623.7,17990468.74,59006077.99,57697631.36,212881970.31,15529187.06,28080528.4,43565595.84,95965059.73,172698401.08,98885017.34,196196691.45,30796467.72,29960595.59,10957872.03,77730506.21,99231383.81,176710856.85,0,0,0,11.44,4.28,52.85,41.41,16.83,6.86,1.48,6.5,0,16.35,36.65,1.14,0.08,0,31.16,55.49,7.05,32.72,6.18,16.5,43.47,70.05,10.41,5.22,0,6.94,7.38,2.27,4.93,16.18,15.82,58.38,4.26,7.7,11.95,26.32,47.36,27.12,53.81,8.45,8.22,3.01,21.32,27.21,48.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",447,"Poland","POL","female","overall","2020-04-23",112,12559074.95,0,0,0,14.55,4.55,30.28,33.94,12.84,8.18,1.83,4.59,0,11.93,27.52,2.68,2.7,0,26.36,55.86,3.7,33.33,3.7,9.26,37.5,72.32,11.61,5.36,0,1.79,8.93,0.91,5.45,13.64,30,50,2.73,6.36,11.82,30.91,48.18,32.14,48.21,8.93,8.93,3.57,16.96,24.11,55.36,0,0,0,131075342.07,39375443.67,231039513.04,303293829.74,97458683.2,61156081.15,15345369.15,23712759.87,0,78307769.89,240690509.41,38700592.39,29249259.04,0,315909867.28,772897697.07,58672612.1,449157412.76,31289513.33,124840018.15,517322748.35,853204319.37,143492014.32,81051314.79,0,25293603.35,152866243.58,8262623.7,37660911.06,138350000.49,417680219.2,645161894.18,15529187.06,52297655.42,116116706.88,437553521.18,625618578.08,497049949.61,589737181.76,85935071.43,74393445.81,62444873.23,236958521.31,320527341.72,635976759.15,0,0,0,10.44,3.14,18.4,24.15,7.76,4.87,1.22,1.89,0,6.24,19.16,3.08,2.33,0,25.15,61.54,4.67,35.76,2.49,9.94,41.19,67.94,11.43,6.45,0,2.01,12.17,0.66,3,11.02,33.26,51.37,1.24,4.16,9.25,34.84,49.81,39.58,46.96,6.84,5.92,4.97,18.87,25.52,50.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",448,"Poland","POL","male","overall","2020-04-23",95,12600478.67,0,0,1.05,7.37,2.11,23.16,30.53,12.63,7.37,5.26,2.11,1.05,7.37,20,3.16,2.13,0,40,61.05,1.05,31.58,1.05,7.37,31.58,75.79,9.47,9.47,0,0,5.26,0,5.32,11.7,28.72,54.26,0,5.26,12.63,23.16,58.95,16.84,54.74,17.89,9.47,5.26,4.21,17.89,72.63,0,0,6324582.68,62112330.59,61717447.59,260415282.38,350554075,70874866.04,63969675.79,22397056.46,15045120.82,6417266.62,49807030.25,187251237.98,18039798.79,43715588.53,0,651040133.31,803461824.64,6417266.62,437962175.76,11717862.21,94969435.94,607986367.88,909819418.69,172953860.75,152874515.01,0,0,24400072.95,0,80634240.63,149454103.7,310181048.03,685882917.93,0,130605151.67,121820231.62,371618100,636004384.12,323276461,611831101.78,189490718.36,127741470.38,76135502.59,156578677.38,232317597.82,795016089.61,0,0,0.5,4.93,4.9,20.67,27.82,5.62,5.08,1.78,1.19,0.51,3.95,14.86,1.43,3.47,0,51.67,63.76,0.51,34.76,0.93,7.54,48.25,72.21,13.73,12.13,0,0,1.94,0,6.4,11.86,24.62,54.43,0,10.37,9.67,29.49,50.47,25.66,48.56,15.04,10.14,6.04,12.43,18.44,63.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",449,"Poland","POL","overall","18-34","2020-04-23",110,7077793.89,0,0,0,11.82,3.64,38.18,41.82,18.18,10.91,5.45,6.36,0.91,12.73,31.82,3.64,1.85,0,26.36,50.91,3.64,30.91,2.73,10,30.91,72.73,9.09,5.45,0,1.82,10.91,0.93,7.41,12.96,29.63,49.07,2.78,6.48,15.74,26.85,48.15,18.18,53.64,16.36,10,3.64,8.18,22.73,65.45,0,0,0,91375937.93,18543139.92,286697579.74,300166783.63,101972364.27,63033223.11,27805930.84,38757880.68,6417266.62,74747803.77,192551773.77,22197758.9,29391779.35,0,235269082.97,395374351.01,39191763.17,235383156.28,22550282.29,98633060.63,288546010.81,517229204.28,68674461.86,45256853.73,0,25293603.35,51325266.19,8262623.7,39832794.05,88036434.35,177339239.59,385516450.92,15529187.06,37093816.05,100153242.35,206811546.83,339399750.32,138904042.84,366459429.57,118993353.32,74630716.89,24249090.67,77730506.21,160302743.61,445497048.91,0,0,0,12.91,2.62,40.51,42.41,14.41,8.91,3.93,5.48,0.91,10.56,27.21,3.14,4.15,0,33.24,55.86,5.54,33.26,3.19,13.94,40.77,73.08,9.7,6.39,0,3.57,7.25,1.17,5.63,12.44,25.06,54.47,2.19,5.24,14.15,29.22,47.95,19.63,51.78,16.81,10.54,3.43,10.98,22.65,62.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",450,"Poland","POL","overall","35-54","2020-04-23",72,10254238.2,0,0,1.45,11.43,2.86,17.39,15.94,8.7,7.14,1.45,0,0,8.7,18.84,1.39,2.78,NA,46.48,64.79,1.45,40.58,2.9,7.25,40.28,81.94,12.5,5.56,0,0,0,0,2.82,15.49,29.58,52.11,0,5.56,9.72,26.39,58.33,27.78,52.78,9.72,8.33,2.78,16.67,18.06,62.5,0,0,6324582.68,89397264.77,23757836.02,124309119.78,136250786.5,47294865.86,91940207.33,9936494.76,0,0,53366996.37,210807770.24,8394985.74,30666425.84,0,554122398.57,624577350.54,26530828.67,480488115.05,20457093.25,80186679.65,519548416.99,847359266.17,136684501.79,41380051.69,0,0,0,0,19670442.33,173620023.3,310578856.85,487658940.06,0,87017075.73,111636049.61,327403903.98,499366790.34,303826408.66,568251574.5,86705279.31,58932441.32,51405572.29,232824511.3,165767376.95,575426359.11,0,0,0.62,8.72,2.32,12.12,13.29,4.61,8.97,0.97,0,0,5.2,20.56,0.82,2.99,0,54.04,60.91,2.59,46.86,1.99,7.82,50.67,82.64,13.33,4.04,0,0,0,0,1.92,16.93,30.29,47.56,0,8.49,10.89,31.93,48.7,29.63,55.42,8.46,5.75,5.01,22.71,16.17,56.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",451,"Poland","POL","overall","overall","2020-04-23",211,25713334.3,0,0,0.48,11.48,3.35,27.4,32.21,13.46,8.13,3.85,3.85,0.96,10.1,24.04,2.84,2.4,0,33.33,58.65,2.93,33.17,2.44,8.78,35.41,73.46,10.43,7.11,0,0.95,7.11,0.49,5.34,12.62,29.61,51.94,1.45,5.8,12.08,28.02,52.66,25.12,50.71,12.8,9,4.74,10.9,20.85,62.56,0,0,6324582.68,223035346.16,101092891.26,536215420.64,683695578.24,190327828.38,154973430.44,52655377.32,53670832.4,21330218.34,143027751.86,457789420.89,56740391.18,72964847.58,0,1003879001.52,1613288522.64,72171206.16,924048589.45,43007375.54,226890781.53,1162238117.16,1799952738.99,316445875.07,233925829.8,0,25293603.35,177266316.53,8262623.7,118295151.69,287804104.18,734942594.66,1360892485.61,15529187.06,182902807.09,237936938.5,846100622.11,1261622962.2,850174084.12,1208649610.98,275425789.79,202134916.19,168428049.32,393537198.69,552844939.54,1438074176.2,0,0,0.25,8.67,3.93,20.85,26.59,7.4,6.03,2.05,2.09,0.83,5.56,17.8,2.21,2.84,0,39.04,62.74,2.81,35.94,1.67,8.82,45.2,70,12.31,9.1,0,0.98,6.89,0.32,4.6,11.19,28.58,52.93,0.6,7.11,9.25,32.91,49.06,33.06,47,10.71,7.86,6.55,15.3,21.5,55.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1208,"Poland","POL","female","18-34","2020-04-24",605,4430780.03,0.83,0.33,1.17,13.83,4.17,39.93,29.4,10.17,12.81,5.5,9.17,1.66,16.5,34.55,5.45,1.16,25,28.05,65.07,3.18,38.9,2.84,10.32,42.48,77.52,10.91,2.81,0,0.66,7.93,2.16,6.82,13.31,33.44,44.26,3.33,9,16.5,34.17,37,37.85,42.48,12.23,6.78,6.12,17.69,24.13,52.07,3769998.87,1737003.72,4489389.04,67902049.4,15808312.78,180737365.86,137674804.86,42143779.01,71545605.42,33370494.64,45891607.23,5866498.05,71976608.99,151045393.07,30078132.48,5385383.83,572963.45,126568597.1,298818643.88,17616622.18,171934873.92,12791301.29,50535230.35,193951406.37,349682059.71,43049348.84,13618611.67,0,2995849.37,33433237.5,8711750.98,28918296.35,53119145.43,147062568,202563614.14,11858486.72,36592032.74,68643186.56,156676487.74,165634577.91,182938659.29,179325087.57,50435938.4,27675689.64,37894215.88,82488934.21,111763764.96,210931088.31,0.85,0.39,1.01,15.33,3.57,40.79,31.07,9.51,16.15,7.53,10.36,1.32,16.24,34.09,6.79,1.22,0.13,28.57,67.44,3.98,38.8,2.89,11.41,43.77,78.92,9.72,3.07,0,0.68,7.55,1.97,6.53,11.99,33.19,45.72,2.68,8.26,15.49,35.36,37.38,41.29,40.47,11.38,6.25,8.55,18.62,25.22,47.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1209,"Poland","POL","female","35-54","2020-04-24",373,4767262.39,0.28,0.28,0.56,14.13,5.28,36.24,26.58,9.67,11.88,6.93,6.65,0.84,11.54,29.01,5.91,2.72,33.33,42.54,78.92,1.11,36.09,3.33,9.39,43.78,79.89,10.46,4.02,0,0.8,4.56,2.44,5.42,12.74,29.54,49.86,3.24,3.51,14.32,35.14,43.78,52.28,37.53,5.9,3.49,9.65,19.03,25.74,45.04,884087.82,884087.82,1898483.97,62002843.13,22215838.41,163770660.76,118393675.17,41148949.05,51100351.57,30195598.37,32548811,3257506.34,49415289.49,128516998.8,23669575.23,7997967.15,1122432.84,209256554.9,386170764.59,4604051.72,172427094.02,17041618.8,46205463.78,214350899.48,374064506.94,50688687.55,25465924.74,0,3333509.72,22403339.27,11217320.7,26012036.4,52325690.37,144943808.14,237939520.75,15243553.38,17564087.98,64744113.84,167674310,208325241.72,254572887.37,180381191.12,27016582.09,11580646.33,55943379.5,82486505.61,126034252.36,210096074.64,0.19,0.19,0.4,13.01,4.66,34.35,24.83,8.63,10.72,6.33,6.83,0.68,10.37,26.96,4.97,1.68,0.24,43.89,81,0.97,36.17,3.57,9.69,44.96,78.47,10.63,5.34,0,0.7,4.7,2.35,5.46,10.98,30.4,49.91,3.2,3.68,13.58,35.17,43.7,53.4,37.84,5.67,2.43,11.73,17.3,26.44,44.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1210,"Poland","POL","female","55+","2020-04-24",156,5274089.67,0.67,0.67,0.67,10.6,3.97,19.74,17.11,9.87,6.67,7.89,3.97,0,7.33,19.21,1.92,2.61,0,25.68,71.15,4.05,29.61,0.66,11.84,33.33,74.36,10.26,5.13,0,0,9.62,1.32,5.26,6.58,40.79,46.05,2.61,7.84,11.11,38.56,39.87,59.62,31.41,1.92,5.13,5.13,16.03,25,53.21,1034298.3,1034298.3,1034298.3,44193822.22,15572692.98,108890527.95,77953653.58,59310228.45,33304851.16,41696007.84,26723917.31,0,21901541.46,91668511.5,11731869.97,8184964.7,0,111151311.14,349268582.02,27592133.75,167790886.17,3863961.57,51539531.29,190971525.05,354264134.99,91068146.33,19816950.64,0,0,58660489.16,4423985.68,22508377.15,34816851.86,212163578.4,230973366.84,8136810.23,38457303.66,67541488.78,184491331.47,209975669.82,301331137.21,184515192.38,3834912.03,18921362.34,27620561.57,99503637.19,133936314.24,263240761.99,0.2,0.2,0.2,8.38,2.95,20.65,14.78,11.25,6.31,7.91,5.07,0,4.15,17.38,2.22,1.55,0,21.07,66.22,5.23,31.81,0.73,9.77,36.21,67.17,17.27,3.76,0,0,11.12,0.84,4.27,6.6,40.23,43.79,1.54,7.29,12.81,34.98,39.81,57.13,34.99,0.73,3.59,5.24,18.87,25.4,49.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1211,"Poland","POL","female","overall","2020-04-24",1152,14954376.52,0.62,0.35,0.89,13.54,4.52,35.94,26.74,9.98,11.67,6.28,7.52,1.15,13.6,30.36,5.13,1.84,25,32.24,70.56,2.67,36.84,2.66,10.15,41.64,77.78,10.5,3.47,0,0.69,7.29,2.19,6.06,12.03,33.01,46.71,3.25,6.93,14.91,35,39.91,45.4,39.58,8.68,5.38,7.2,17.71,24.74,50,5688384.99,3655389.84,7422171.3,183527288.44,54515537.74,468307990.92,344625236.55,146763657.28,158520706.15,106180794.43,105164335.54,9124004.39,145201069.68,373138533.12,66398271.25,21568315.69,1695396.29,449603129.58,1075130103.82,54261757.87,544878151.99,33696881.66,153136885.61,625616494.93,1113101202.14,184806182.72,58901487.05,0,7860218.98,126100148.26,25271750.94,77438709.9,140261687.66,509541221.66,710168976.54,36157543.9,92613424.38,202129055.83,525411354.13,610229739.82,752426165.11,575014518.09,81893339.76,58177698.31,127303753.3,266610349.81,382319178.3,710688644.57,0.38,0.24,0.5,12.27,3.65,31.32,23.05,9.81,10.6,7.1,7.03,0.61,9.71,24.95,4.44,1.44,0.11,30.06,71.89,3.63,36.44,2.25,10.24,41.84,74.43,12.36,3.94,0,0.53,8.43,1.69,5.18,9.38,34.07,47.49,2.42,6.19,13.52,35.13,40.81,50.31,38.45,5.48,3.89,8.51,17.83,25.57,47.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
