"","X","country_agg","GID_0","gender","age_bucket","date","total_responses","weight_sums","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_cli_weighted_sums","pct_ili_weighted_sums","pct_fever_weighted_sums","pct_cough_weighted_sums","pct_difficulty_breathing_weighted_sums","pct_fatigue_weighted_sums","pct_stuffy_runny_nose_weighted_sums","pct_aches_muscle_pain_weighted_sums","pct_sore_throat_weighted_sums","pct_chest_pain_weighted_sums","pct_nausea_weighted_sums","pct_anosmia_ageusia_weighted_sums","pct_eye_pain_weighted_sums","pct_headache_weighted_sums","pct_cmnty_sick_weighted_sums","pct_ever_tested_weighted_sums","pct_tested_recently_weighted_sums","pct_worked_outside_home_weighted_sums","pct_grocery_outside_home_weighted_sums","pct_ate_outside_home_weighted_sums","pct_spent_time_with_non_hh_weighted_sums","pct_attended_public_event_weighted_sums","pct_used_public_transit_weighted_sums","pct_direct_contact_with_non_hh_weighted_sums","pct_wear_mask_all_time_weighted_sums","pct_wear_mask_most_time_weighted_sums","pct_wear_mask_half_time_weighted_sums","pct_wear_mask_some_time_weighted_sums","pct_wear_mask_none_time_weighted_sums","pct_no_public_weighted_sums","pct_feel_nervous_all_time_weighted_sums","pct_feel_nervous_most_time_weighted_sums","pct_feel_nervous_some_time_weighted_sums","pct_feel_nervous_little_time_weighted_sums","pct_feel_nervous_none_time_weighted_sums","pct_feel_depressed_all_time_weighted_sums","pct_feel_depressed_most_time_weighted_sums","pct_feel_depressed_some_time_weighted_sums","pct_feel_depressed_little_time_weighted_sums","pct_feel_depressed_none_time_weighted_sums","pct_worried_ill_covid19_very_weighted_sums","pct_worried_ill_covid19_somewhat_weighted_sums","pct_worried_ill_covid19_notTooWorried_weighted_sums","pct_worried_ill_covid19_notWorried_weighted_sums","pct_enough_toEat_very_worried_weighted_sums","pct_enough_toEat_somewhat_worried_weighted_sums","pct_enough_toEat_notToo_worried_weighted_sums","pct_enough_toEat_not_worried_weighted_sums","pct_cli_weighted","pct_ili_weighted","pct_fever_weighted","pct_cough_weighted","pct_difficulty_breathing_weighted","pct_fatigue_weighted","pct_stuffy_runny_nose_weighted","pct_aches_muscle_pain_weighted","pct_sore_throat_weighted","pct_chest_pain_weighted","pct_nausea_weighted","pct_anosmia_ageusia_weighted","pct_eye_pain_weighted","pct_headache_weighted","pct_cmnty_sick_weighted","pct_ever_tested_weighted","pct_tested_recently_weighted","pct_worked_outside_home_weighted","pct_grocery_outside_home_weighted","pct_ate_outside_home_weighted","pct_spent_time_with_non_hh_weighted","pct_attended_public_event_weighted","pct_used_public_transit_weighted","pct_direct_contact_with_non_hh_weighted","pct_wear_mask_all_time_weighted","pct_wear_mask_most_time_weighted","pct_wear_mask_half_time_weighted","pct_wear_mask_some_time_weighted","pct_wear_mask_none_time_weighted","pct_no_public_weighted","pct_feel_nervous_all_time_weighted","pct_feel_nervous_most_time_weighted","pct_feel_nervous_some_time_weighted","pct_feel_nervous_little_time_weighted","pct_feel_nervous_none_time_weighted","pct_feel_depressed_all_time_weighted","pct_feel_depressed_most_time_weighted","pct_feel_depressed_some_time_weighted","pct_feel_depressed_little_time_weighted","pct_feel_depressed_none_time_weighted","pct_worried_ill_covid19_very_weighted","pct_worried_ill_covid19_somewhat_weighted","pct_worried_ill_covid19_notTooWorried_weighted","pct_worried_ill_covid19_notWorried_weighted","pct_enough_toEat_very_worried_weighted","pct_enough_toEat_somewhat_worried_weighted","pct_enough_toEat_notToo_worried_weighted","pct_enough_toEat_not_worried_weighted","pct_chills","pct_chills_weighted_sums","pct_chills_weighted","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_finances_very_worried_weighted_sums","pct_finances_somewhat_worried_weighted_sums","pct_finances_notToo_worried_weighted_sums","pct_finances_not_worried_weighted_sums","pct_finances_very_worried_weighted","pct_finances_somewhat_worried_weighted","pct_finances_notToo_worried_weighted","pct_finances_not_worried_weighted"
"1",357,"Myanmar","MMR","male","overall","2020-04-23",63,7881963.63,1.59,1.59,3.17,11.11,3.17,4.76,11.11,14.29,3.17,9.52,7.94,4.76,11.29,22.22,23.81,12.7,50,33.87,37.1,6.67,23.33,9.84,5,30.16,49.21,17.46,11.11,0,0,19.05,4.92,1.64,8.2,16.39,68.85,3.28,3.28,8.2,14.75,70.49,30.16,34.92,23.81,7.94,12.7,22.22,34.92,26.98,8327030.4,8327030.4,10834351.47,107523736.91,17766088.23,40953900.24,62577617.94,79156056.01,18921327.78,79050051.24,47606490.02,37198320.1,62636105.36,234114802.2,214515943.78,101488579.58,8327030.4,254298838.39,290184383.83,44655259.55,221641706.13,65575341.52,44039320.13,273227802.43,437168754.06,96960107.08,65269496.74,0,0,161038743.33,39113134.67,13561633.71,37474249.36,100965951.61,527232986.76,13654614.78,6020066.57,38047122.18,69138498.03,633576799.63,281779108.89,238669613.05,178580207.99,61408171.27,70204011.54,205737432.34,245659309.6,238836347.72,1.06,1.06,1.37,13.64,2.25,5.2,7.94,10.04,2.4,10.03,6.04,4.72,7.95,29.7,27.22,12.88,1.06,32.26,36.82,5.67,28.12,8.32,5.59,34.66,55.46,12.3,8.28,0,0,20.43,4.96,1.72,4.75,12.81,66.89,1.73,0.76,4.83,8.77,80.38,35.75,30.28,22.66,7.79,8.91,26.1,31.17,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",358,"Myanmar","MMR","overall","18-34","2020-04-23",58,9339111.02,1.72,1.72,3.45,13.79,3.51,7.02,12.07,17.24,5.17,8.77,8.77,3.45,6.9,18.97,22.41,7.02,100,37.93,37.5,8.93,23.64,7.14,5.45,29.31,48.28,18.97,8.62,0,0,22.41,5.17,1.72,10.34,24.14,58.62,1.75,3.51,12.28,26.32,56.14,43.1,34.48,12.07,6.9,12.07,27.59,37.93,18.97,8327030.4,8327030.4,10834351.47,169197276.97,17766088.23,121102285.45,111009862.2,131132982.27,80594867.84,54956139.54,88452907.5,17766088.23,44272091.72,111414994.99,172832663.52,50378226.64,8327030.4,315678840.85,279845489.19,84988305.38,197919114.07,43223017.15,86280628.31,284027868.24,376240120.45,201348018.6,63617930.06,0,0,284378001.99,42778530.12,13561633.71,96163816.2,272044916.49,509362204.98,4620315.38,6020066.57,112420357.09,293459946.74,509063385.32,538775571.03,241171304.53,97070833.41,28066752.25,110665967.29,260947816.86,385258469.02,119686518.28,0.89,0.89,1.16,18.12,1.9,12.97,11.89,14.04,8.63,5.88,9.47,1.9,4.74,11.93,18.51,5.39,0.89,33.8,29.96,9.1,21.19,4.63,9.24,30.41,40.29,21.56,6.81,0,0,30.45,4.58,1.45,10.3,29.13,54.54,0.49,0.64,12.04,31.42,54.51,57.69,25.82,10.39,3.01,11.85,27.94,41.25,12.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",359,"Myanmar","MMR","overall","overall","2020-04-23",123,21585544,6.9,6.9,7.76,13.79,7.83,11.21,17.09,15.52,11.97,14.66,14.66,7.76,14.66,22.41,33.33,18.42,60,34.65,37,9.09,22.45,11.11,6.12,28.43,35.77,15.45,8.13,0,0.81,17.89,5.32,2.13,8.51,23.4,60.64,2.17,2.17,9.78,26.09,59.78,26.83,24.39,17.07,5.69,8.13,17.07,31.71,17.07,80457513.81,80457513.81,82964834.88,281199959.31,89896571.64,259458633.53,256670965.06,254788670.16,260683017.75,238358080.6,253991492.37,101549577.18,171259917.56,405328511.26,708880247.29,336041233.49,44101597.42,637890775.77,636255159.34,144285080.97,448326137.41,150272886.15,145789409.51,523688570.6,725482068.77,389089895.67,106467193.89,0,30828894.4,458607167.59,61060484.45,31441816.88,145443387.04,470438863.48,944571055.47,13654614.78,6020066.57,199163813.06,461740628.85,987337791.04,727811828.73,473780582.82,346555588.04,99269304.83,144577246.45,415711309.44,696056325.21,362546733.55,3.73,3.73,3.84,13.03,4.16,12.02,11.89,11.8,12.08,11.04,11.77,4.7,7.93,18.78,32.84,15.57,2.04,29.55,29.48,6.68,20.77,6.96,6.75,24.26,33.61,18.03,4.93,0,1.43,21.25,2.83,1.46,6.74,21.79,43.76,0.63,0.28,9.23,21.39,45.74,33.72,21.95,16.05,4.6,6.7,19.26,32.25,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1102,"Myanmar","MMR","male","18-34","2020-04-24",57,4335515.73,0,0,0,8.93,3.64,11.11,14.55,11.11,9.09,0,5.45,0,9.09,10.91,21.05,8.93,50,32.73,32.08,5.66,22.64,3.77,0,24.56,40.35,35.09,15.79,0,0,5.26,3.51,3.51,22.81,21.05,49.12,1.85,3.7,18.52,31.48,44.44,45.61,19.3,19.3,12.28,22.81,17.54,29.82,26.32,0,0,0,44872482.97,15786345.76,43135348.12,70360920.49,36909236.52,48423402.09,0,32972009.33,0,30764525.22,52287691.38,81688321.62,44174154.49,7754740.69,149100034.37,133176944.12,20397421.85,72739711.34,24718925.57,0,121788340.61,172322086.36,163673050.28,54184432.34,0,0,23700890.47,11496663.82,11841706.72,91972468.16,78005245.68,240235488.8,2853934.16,9985684.23,58579510.35,125945273.84,216883817.21,168221796.2,103308689.78,88628029.96,63077476.41,98898008.28,59873801.39,134320848.66,130143334.03,0,0,0,10.35,3.64,9.95,16.23,8.51,11.17,0,7.61,0,7.1,12.06,18.84,10.19,1.79,34.39,30.72,4.7,16.78,5.7,0,28.09,39.75,37.75,12.5,0,0,5.47,2.65,2.73,21.21,17.99,55.41,0.66,2.3,13.51,29.05,50.02,38.8,23.83,20.44,14.55,22.81,13.81,30.98,30.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1103,"Myanmar","MMR","male","overall","2020-04-24",85,6578844.86,0,0,0,5.95,2.41,8.54,9.64,9.76,7.23,0,3.61,0,6.02,7.23,15.29,5.95,50,37.35,32.1,4.94,25.93,4.94,0,21.18,43.53,29.41,14.12,0,1.18,9.41,3.53,3.53,18.82,23.53,50.59,1.22,2.44,14.63,32.93,48.78,47.06,18.82,16.47,15.29,16.47,14.12,31.76,35.29,0,0,0,44872482.97,15786345.76,71067206.64,70360920.49,66956920.19,56178142.77,0,32972009.33,0,30764525.22,52287691.38,91385021.44,44174154.49,7754740.69,262039337.09,227949684.9,25721130.31,182849427.2,36882716.22,0,152497301.47,275010018.76,193751598.28,110873231.25,0,2599274.29,55979249.24,21193363.64,18504984.2,113638904.24,127802945.94,376744287.53,2853934.16,9985684.23,71650260.37,190601760.07,363489493.34,294677562.4,144298036.64,104804393.82,103788911.88,108594708.11,74886730.93,181727517.65,282359948.05,0,0,0,6.82,2.4,10.8,10.7,10.18,8.54,0,5.01,0,4.68,7.95,13.89,6.71,1.18,39.83,34.65,3.91,27.79,5.61,0,23.18,41.8,29.45,16.85,0,0.4,8.51,3.22,2.81,17.27,19.43,57.27,0.43,1.52,10.89,28.97,55.25,44.79,21.93,15.93,15.78,16.51,11.38,27.62,42.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1104,"Myanmar","MMR","overall","18-34","2020-04-24",82,8907969.39,1.28,1.28,1.28,12.35,5.06,10.26,12.66,11.54,8.86,1.28,7.59,1.28,12.66,12.66,21.95,12.35,60,31.25,32.05,7.69,23.08,7.69,2.56,23.17,39.02,29.27,14.63,0,0,14.63,3.66,4.88,17.07,24.39,50,2.56,3.85,16.67,26.92,50,43.9,18.29,20.73,14.63,19.51,17.07,34.15,26.83,29666527.05,29666527.05,29666527.05,165564713.65,69510479.06,96950609.38,117123768.57,93059101.8,103133888.57,29666527.05,111831230.02,29666527.05,144759699.58,173717936.42,158054028.74,130778696.14,45604662.91,279373004.6,289304811.64,92054835.97,189329716.76,111670413.48,37849922.22,203940929.72,316881223.95,265726294.66,122009776.39,0,0,166508530.64,41163190.86,60048047.19,101932714.06,225374768.9,462278218.36,32520461.21,22221766.74,120729891.51,217632455.95,470205615.39,374017313.73,148186577.17,201413749.8,156863717.84,177757228.98,132683878.27,356595568.96,213444682.33,3.33,3.33,3.33,18.59,7.8,10.88,13.15,10.45,11.58,3.33,12.55,3.33,16.25,19.5,17.74,14.68,5.12,31.36,32.48,10.33,21.25,12.54,4.25,22.89,35.57,29.83,13.7,0,0,18.69,4.62,6.74,11.44,25.3,51.89,3.65,2.49,13.55,24.43,52.78,41.99,16.64,22.61,17.61,19.95,14.89,40.03,23.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1105,"Myanmar","MMR","overall","overall","2020-04-24",142,14431987.81,3.79,3.79,4.55,11.85,6.77,10.61,10.53,12.98,10.61,4.55,7.58,4.55,14.07,13.53,23.94,12.78,50,33.88,30.25,5.93,22.69,7.56,2.52,19.51,35.92,21.83,11.27,0,1.41,11.97,3.51,4.39,16.67,26.32,49.12,1.82,2.73,15.45,29.09,50.91,35.21,16.2,14.79,12.68,12.68,11.27,27.46,27.46,74012411.2,74012411.2,85269530.44,224923185.98,127154734.6,180485471.29,161469652.73,172641444.14,160487698.99,85269530.44,156177114.18,89021903.52,245836876.8,271081887.47,358391473.38,217296771.26,45604662.91,410597815.45,406245281.49,97378544.42,299439432.62,126423704.36,40439422.44,244008710.85,449267954.95,323373105.22,194393052.11,0,11958094.57,198786889.41,50859890.69,66711324.66,144021015.8,298875977.15,598787017.09,32520461.21,22221766.74,154222507.18,290297973.37,632505768.33,500473079.93,217606820.87,233284590.47,197575153.3,195639711.94,147696807.82,416238320.47,389364804.34,5.13,5.13,5.91,15.59,8.81,12.51,11.19,11.96,11.12,5.91,10.82,6.17,17.03,18.78,24.83,15.06,3.16,28.45,28.15,6.75,20.75,8.76,2.8,16.91,31.13,22.41,13.47,0,0.83,13.77,3.52,4.62,9.98,20.71,41.49,2.25,1.54,10.69,20.11,43.83,34.68,15.08,16.16,13.69,13.56,10.23,28.84,26.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1987,"Myanmar","MMR","male","overall","2020-04-25",58,7201266.97,0,0,0,10.71,3.57,3.57,5.36,8.93,0,3.57,3.51,0,7.14,5.36,17.24,10.71,100,33.93,32.73,12.73,9.09,3.64,3.57,21.05,41.38,17.24,12.07,0,3.45,20.69,3.51,3.51,15.79,24.56,52.63,5.45,0,14.55,21.82,58.18,13.79,34.48,18.97,29.31,6.9,18.97,31.03,41.38,0,0,0,73792420.58,22210552.48,14710857.89,22793683.02,46529321.82,0,27789949.01,17875751.9,0,32195166.3,18423634.55,107897490.94,60513596.34,15119497.95,193043216.94,240691246.66,42836318.5,53683815.15,14035882.75,11611916.42,134578333.22,315173132.89,118564567.78,98903681.16,0,17271718.21,148311377.37,35976807.84,23317895.19,107001345.91,185243715.05,366981133.81,40878999.21,0,115991221.67,133618697.4,407735559.13,90220576.18,251160385.03,132257330.08,226191985.12,55821273.18,157590832.39,183112156.94,314295133.05,0,0,0,10.25,3.08,2.04,3.17,6.46,0,3.86,2.48,0,4.47,2.56,14.98,8.4,2.1,26.81,33.42,5.95,7.45,1.95,1.61,18.69,43.77,16.46,13.73,0,2.4,20.6,5,3.24,14.86,25.72,50.96,5.68,0,16.11,18.55,56.62,12.53,34.88,18.37,31.41,7.75,21.88,25.43,43.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1988,"Myanmar","MMR","overall","18-34","2020-04-25",74,10293417.69,1.39,1.39,1.39,11.11,5.56,5.56,9.72,12.5,4.17,5.56,4.17,1.39,8.33,10.96,16.22,12.33,100,36.11,38.03,14.08,15.49,6.94,5.63,17.57,50,16.22,9.46,0,1.35,20.27,2.74,1.37,13.7,24.66,57.53,4.17,2.78,13.89,22.22,56.94,29.73,36.49,16.22,16.22,12.16,17.57,33.78,36.49,3955180.87,3955180.87,3955180.87,111378594.33,34036616.16,26536921.58,76509175.74,110679314.08,45244842.46,36415007.08,20394514.35,3955180.87,44021229.99,76590647.54,128935071.44,98991909.33,27943056.44,305616932.31,345293748.42,78251470.57,139143730.66,53667291.63,26185731.6,155855623.5,566208528.61,159327106.87,71060393.71,0,5854235.03,214296586.71,14944300.02,14010593.95,146211780.44,288362443.1,564206852.58,19846491.39,21881476.77,184173563.77,261746261.24,529099057.76,342370141.63,377158117.46,157833817.64,140990573.19,119561224.55,171299431.15,327114472.65,411366640.72,0.38,0.38,0.38,10.82,3.31,2.58,7.43,10.75,4.4,3.54,1.98,0.38,4.28,7.44,12.53,9.62,2.71,29.69,33.55,7.6,13.52,5.21,2.54,15.14,55.01,15.48,6.9,0,0.57,20.82,1.45,1.36,14.2,28.01,54.81,1.93,2.13,17.89,25.43,51.4,33.26,36.64,15.33,13.7,11.62,16.64,31.78,39.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1989,"Myanmar","MMR","overall","overall","2020-04-25",130,17806297.51,2.48,2.48,2.48,12.3,5.79,4.96,9.09,10.83,4.13,6.56,4.92,3.31,7.44,10.57,23.44,12.93,100,31.43,35.58,11.88,14.56,6.73,3.85,17.59,41.54,13.08,7.69,0,1.54,14.62,3.03,2.02,12.12,24.24,58.59,4.12,3.09,12.37,20.62,59.79,19.23,25.38,13.85,16.92,8.46,13.85,24.62,29.23,25023825.12,25023825.12,25023825.12,197237874.65,68786466.56,47605565.83,103182481.67,149281070.58,66313486.71,107193677.14,50770459.84,28079695.05,68145744.18,137996758.61,370883931.69,157510143.63,46319613.7,384456806.44,517343592.97,88716936.47,200990961.25,69754652.01,26185731.6,224847386.79,822795204.99,214818780.88,137734374.6,0,17271718.21,282174312.97,39931988.71,23317895.19,186835685.75,382754221.76,821581091.66,44834180.08,32231542.84,230002589.35,319741516.68,807314633.73,407096203.07,475626289.96,246396806.93,306610961.71,146292071.17,281569310.59,440367195.36,578490803.7,1.41,1.41,1.41,11.08,3.86,2.67,5.79,8.38,3.72,6.02,2.85,1.58,3.83,7.75,20.83,8.85,2.6,21.59,29.05,4.98,11.29,3.92,1.47,12.63,46.21,12.06,7.74,0,0.97,15.85,2.24,1.31,10.49,21.5,46.14,2.52,1.81,12.92,17.96,45.34,22.86,26.71,13.84,17.22,8.22,15.81,24.73,32.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
