"","X","country_agg","GID_0","gender","age_bucket","date","total_responses","weight_sums","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_cli_weighted_sums","pct_ili_weighted_sums","pct_fever_weighted_sums","pct_cough_weighted_sums","pct_difficulty_breathing_weighted_sums","pct_fatigue_weighted_sums","pct_stuffy_runny_nose_weighted_sums","pct_aches_muscle_pain_weighted_sums","pct_sore_throat_weighted_sums","pct_chest_pain_weighted_sums","pct_nausea_weighted_sums","pct_anosmia_ageusia_weighted_sums","pct_eye_pain_weighted_sums","pct_headache_weighted_sums","pct_cmnty_sick_weighted_sums","pct_ever_tested_weighted_sums","pct_tested_recently_weighted_sums","pct_worked_outside_home_weighted_sums","pct_grocery_outside_home_weighted_sums","pct_ate_outside_home_weighted_sums","pct_spent_time_with_non_hh_weighted_sums","pct_attended_public_event_weighted_sums","pct_used_public_transit_weighted_sums","pct_direct_contact_with_non_hh_weighted_sums","pct_wear_mask_all_time_weighted_sums","pct_wear_mask_most_time_weighted_sums","pct_wear_mask_half_time_weighted_sums","pct_wear_mask_some_time_weighted_sums","pct_wear_mask_none_time_weighted_sums","pct_no_public_weighted_sums","pct_feel_nervous_all_time_weighted_sums","pct_feel_nervous_most_time_weighted_sums","pct_feel_nervous_some_time_weighted_sums","pct_feel_nervous_little_time_weighted_sums","pct_feel_nervous_none_time_weighted_sums","pct_feel_depressed_all_time_weighted_sums","pct_feel_depressed_most_time_weighted_sums","pct_feel_depressed_some_time_weighted_sums","pct_feel_depressed_little_time_weighted_sums","pct_feel_depressed_none_time_weighted_sums","pct_worried_ill_covid19_very_weighted_sums","pct_worried_ill_covid19_somewhat_weighted_sums","pct_worried_ill_covid19_notTooWorried_weighted_sums","pct_worried_ill_covid19_notWorried_weighted_sums","pct_enough_toEat_very_worried_weighted_sums","pct_enough_toEat_somewhat_worried_weighted_sums","pct_enough_toEat_notToo_worried_weighted_sums","pct_enough_toEat_not_worried_weighted_sums","pct_cli_weighted","pct_ili_weighted","pct_fever_weighted","pct_cough_weighted","pct_difficulty_breathing_weighted","pct_fatigue_weighted","pct_stuffy_runny_nose_weighted","pct_aches_muscle_pain_weighted","pct_sore_throat_weighted","pct_chest_pain_weighted","pct_nausea_weighted","pct_anosmia_ageusia_weighted","pct_eye_pain_weighted","pct_headache_weighted","pct_cmnty_sick_weighted","pct_ever_tested_weighted","pct_tested_recently_weighted","pct_worked_outside_home_weighted","pct_grocery_outside_home_weighted","pct_ate_outside_home_weighted","pct_spent_time_with_non_hh_weighted","pct_attended_public_event_weighted","pct_used_public_transit_weighted","pct_direct_contact_with_non_hh_weighted","pct_wear_mask_all_time_weighted","pct_wear_mask_most_time_weighted","pct_wear_mask_half_time_weighted","pct_wear_mask_some_time_weighted","pct_wear_mask_none_time_weighted","pct_no_public_weighted","pct_feel_nervous_all_time_weighted","pct_feel_nervous_most_time_weighted","pct_feel_nervous_some_time_weighted","pct_feel_nervous_little_time_weighted","pct_feel_nervous_none_time_weighted","pct_feel_depressed_all_time_weighted","pct_feel_depressed_most_time_weighted","pct_feel_depressed_some_time_weighted","pct_feel_depressed_little_time_weighted","pct_feel_depressed_none_time_weighted","pct_worried_ill_covid19_very_weighted","pct_worried_ill_covid19_somewhat_weighted","pct_worried_ill_covid19_notTooWorried_weighted","pct_worried_ill_covid19_notWorried_weighted","pct_enough_toEat_very_worried_weighted","pct_enough_toEat_somewhat_worried_weighted","pct_enough_toEat_notToo_worried_weighted","pct_enough_toEat_not_worried_weighted","pct_chills","pct_chills_weighted_sums","pct_chills_weighted","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_finances_very_worried_weighted_sums","pct_finances_somewhat_worried_weighted_sums","pct_finances_notToo_worried_weighted_sums","pct_finances_not_worried_weighted_sums","pct_finances_very_worried_weighted","pct_finances_somewhat_worried_weighted","pct_finances_notToo_worried_weighted","pct_finances_not_worried_weighted"
"1",467,"Puerto Rico, U.S.","PRI","female","35-54","2020-04-23",70,248453.7,0,0,0,10,2.86,11.59,21.74,17.14,11.43,5.71,7.14,0,7.14,11.43,12.86,8.7,50,27.14,57.97,5.71,24.29,2.86,1.43,17.39,77.14,4.29,0,0,0,18.57,2.86,11.43,28.57,17.14,40,7.14,11.43,17.14,27.14,37.14,68.57,24.29,4.29,2.86,30,28.57,21.43,20,0,0,0,2837459.41,575133.58,3944545.15,6200022.7,3785649.89,2532080.37,1379520.71,1199045.22,0,2048210.23,2718301.3,3171999.25,1642783.48,741632.85,6253564.36,13587120.85,1772255.25,5695983.87,1356782.56,325525.45,4422024.52,18019572.85,1607092.51,0,0,0,5218705.05,455957.52,3505929.09,7828218.32,4308768.05,8746497.45,1430662.64,3714567.05,5679736.45,5732804.89,8287599.39,17653688.01,5687684.65,756475.34,747522.42,8263720.29,5925027.23,5565044.41,5091578.49,0,0,0,11.42,2.31,15.88,24.95,15.24,10.19,5.55,4.83,0,8.24,10.94,12.77,6.61,2.98,25.17,54.69,7.13,22.93,5.46,1.31,17.8,72.53,6.47,0,0,0,21,1.84,14.11,31.51,17.34,35.2,5.76,14.95,22.86,23.07,33.36,71.05,22.89,3.04,3.01,33.26,23.85,22.4,20.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",468,"Puerto Rico, U.S.","PRI","female","55+","2020-04-23",63,340805.75,1.59,1.59,1.59,15.87,9.52,14.29,23.81,22.22,6.35,6.45,4.76,1.59,11.11,9.68,6.35,3.17,100,9.68,65.08,6.35,17.46,1.61,1.59,14.29,80.95,3.17,0,0,0,15.87,0,12.7,15.87,20.63,50.79,3.17,11.11,14.29,28.57,42.86,55.56,34.92,4.76,4.76,7.94,39.68,22.22,30.16,302770.55,302770.55,302770.55,5210135.22,3327816.91,5018466.24,7521733.78,5490852.66,1480372.23,1855829.84,1477798.3,554681.84,2755212.01,2680860.49,1785937.8,945181.92,554681.84,1697281.16,21047247.42,2999731.36,6073919.11,325978.77,325978.77,3973507.22,27117981.49,1785439.59,0,0,0,5177153.96,0,4407577.35,3606004.33,6708017.15,19358976.21,916354.36,3107235.31,4083653.57,8881521.8,17091810.01,18812321.23,11067812.73,1760445.41,2439995.66,2092302.3,12306195.75,9205296.08,10476780.91,0.89,0.89,0.89,15.29,9.76,14.73,22.07,16.11,4.34,5.45,4.34,1.63,8.08,7.87,5.24,2.77,1.63,4.98,61.76,8.8,17.82,0.96,0.96,11.66,79.57,5.24,0,0,0,15.19,0,12.93,10.58,19.68,56.8,2.69,9.12,11.98,26.06,50.15,55.2,32.48,5.17,7.16,6.14,36.11,27.01,30.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",469,"Puerto Rico, U.S.","PRI","female","overall","2020-04-23",178,719853.96,0.56,0.56,0.56,11.8,4.49,10.73,19.21,18.54,8.43,5.65,6.18,0.56,6.74,11.3,8.43,4.55,60,20.9,61.58,7.3,24.72,2.26,1.12,19.77,77.53,5.06,0,0,0.56,16.85,2.25,14.04,20.79,19.66,43.26,5.62,12.92,17.42,26.4,37.64,61.24,30.9,3.93,3.93,24.72,31.46,21.91,21.91,302770.55,302770.55,302770.55,9252525.31,3902950.49,9855555.08,14726038.41,11066657.09,4970161.85,3899737.77,3645587.05,554681.84,4803422.24,7259557.21,5385076.41,2587965.41,1296314.69,11130589.44,42843415.73,6130964.24,16532347.84,1870617.94,651504.22,12508531.74,54267977.73,4837057.12,0,0,211121.13,12669239.61,899100.81,11064572.38,13404485.84,13451279.63,33165956.94,3106329.78,9123117.96,12919167.4,17061890.92,29774889.54,43959679.38,21526605.99,2918379.85,3580730.38,15338590.96,22080258.94,17582860.73,16983684.97,0.42,0.42,0.42,12.85,5.42,13.69,20.46,15.37,6.9,5.42,5.06,0.77,6.67,10.08,7.48,3.6,1.8,15.46,59.52,8.52,22.97,2.6,0.91,17.38,75.39,6.72,0,0,0.29,17.6,1.25,15.37,18.62,18.69,46.07,4.32,12.67,17.95,23.7,41.36,61.07,29.9,4.05,4.97,21.31,30.67,24.43,23.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",470,"Puerto Rico, U.S.","PRI","male","35-54","2020-04-23",63,250185.78,3.17,1.59,3.17,12.7,4.76,6.35,12.7,12.7,14.29,3.17,0,1.59,1.59,6.35,6.35,3.17,100,30.65,69.35,15,29.03,4.92,0,15.87,84.13,11.11,1.59,0,0,3.17,1.59,7.94,19.05,28.57,42.86,3.17,9.52,17.46,20.63,49.21,58.73,33.33,6.35,1.59,33.33,28.57,20.63,17.46,784788.89,244808.48,784788.89,4167982.74,1289281.49,1438493.17,3690957.83,2992043.78,3648064.18,506925.42,0,262116.95,244808.48,1196477.82,1814357.64,1081586.63,867627.96,8726534.02,16624274.66,2848620.24,7923334.98,709257.68,0,4081992.02,20887763.96,3431990.04,244808.48,0,0,454015.69,197447.69,2089914.24,4440927.09,6473037.66,11817251.48,426533.69,2463451.39,3307924.16,5412137.88,13408531.04,14641130.98,8479999.32,1691619.99,205827.87,8636925.75,7028265.89,4780901.39,4572485.13,3.14,0.98,3.14,16.66,5.15,5.75,14.75,11.96,14.58,2.03,0,1.05,0.98,4.78,7.25,4.32,3.47,34.88,66.45,11.39,31.67,2.83,0,16.32,83.49,13.72,0.98,0,0,1.81,0.79,8.35,17.75,25.87,47.23,1.7,9.85,13.22,21.63,53.59,58.52,33.89,6.76,0.82,34.52,28.09,19.11,18.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",471,"Puerto Rico, U.S.","PRI","male","overall","2020-04-23",158,788014.45,1.9,1.27,2.53,8.23,2.53,3.8,15.82,12.03,7.59,1.9,0,0.63,3.16,5.7,6.33,1.94,100,28.21,62.42,9.8,26.11,2.58,0.65,18.99,79.75,10.76,1.9,0,0,7.59,0.63,8.86,15.82,19.62,55.06,1.9,6.96,15.82,20.25,55.06,55.7,34.18,6.96,3.16,25.95,28.48,20.89,24.68,1041070.26,501089.84,1566189.86,7378335.29,2837578.45,3199935.7,13451245.68,8735253.75,5612779.26,784254.94,0,262116.95,2902722.94,4553924.88,4533669.06,1448516.31,1234557.63,21521618.73,48334348.36,6149786.94,20184513.08,1048370.53,549106.55,12702927,63049335.29,10194309.53,1421605.98,0,0,4136194.02,197447.69,5325569.35,10973547.16,14849233.74,47455646.89,921109.4,4737684.15,11360332.36,14856987.26,46925331.65,42277406.66,28315417.59,5183132.83,3025487.74,17880359.18,23928541.56,15343513.94,21649030.14,1.32,0.64,1.99,9.36,3.6,4.06,17.07,11.09,7.12,1,0,0.33,3.68,5.78,5.75,1.84,1.57,27.31,61.34,7.8,25.61,1.33,0.7,16.12,80.01,12.94,1.8,0,0,5.25,0.25,6.76,13.93,18.84,60.22,1.17,6.01,14.42,18.85,59.55,53.65,35.93,6.58,3.84,22.69,30.37,19.47,27.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",472,"Puerto Rico, U.S.","PRI","overall","18-34","2020-04-23",92,343295.83,1.09,1.09,2.17,6.52,0,3.26,17.39,15.22,4.35,3.26,3.26,0,3.26,9.78,6.52,0,NA,30.77,57.61,7.69,36.96,2.2,0,33.7,70.65,9.78,1.09,0,1.09,17.39,2.17,17.39,16.3,19.57,44.57,4.35,11.96,20.65,22.83,40.22,56.52,35.87,4.35,3.26,31.52,29.35,19.57,19.57,256281.36,256281.36,781400.96,1793537.8,0,1105689.26,5817472,4144619.1,1170854.81,941716.74,968743.54,0,1109617.5,2950668.81,1921004.11,0,0,9633407.71,19296906.72,2035802.74,13804785.98,526969.45,0,10859721.59,24871184.25,3358906.36,316751.64,0,211121.13,5571619.79,443143.29,5438249.19,4776789.53,7367259.8,16304141.37,1253888.49,3627076.51,6407452.57,8047216.47,14993949.13,19252283.84,13139137.43,1339121.73,599040.18,9183249.48,12377388.67,6749650.69,6019294.34,0.75,0.75,2.28,5.22,0,3.22,16.95,12.07,3.41,2.74,2.82,0,3.23,8.6,5.6,0,0,28.06,56.21,5.93,40.21,1.54,0,31.63,72.45,9.78,0.92,0,0.61,16.23,1.29,15.84,13.91,21.46,47.49,3.65,10.57,18.66,23.44,43.68,56.08,38.27,3.9,1.74,26.75,36.05,19.66,17.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",473,"Puerto Rico, U.S.","PRI","overall","35-54","2020-04-23",136,510153.27,1.47,0.74,1.47,11.03,3.68,8.89,17.04,14.71,12.5,4.41,3.68,0.74,4.41,8.82,9.56,5.93,60,28.89,64.18,10.53,27.41,3.73,0.75,17.04,80.15,8.09,0.74,0,0,11.03,2.21,9.56,23.53,22.06,42.65,5.15,10.29,17.65,23.53,43.38,63.97,27.94,5.88,2.21,31.62,28.68,20.59,19.12,784788.89,244808.48,784788.89,7005442.14,1864415.06,5383038.31,9890980.53,6777693.67,6180144.56,1886446.13,1199045.22,262116.95,2293018.71,3914779.12,4986356.89,2724370.12,1609260.81,15309602.91,31362774.17,4950380.02,14480305.71,2066040.24,325525.45,8833521.06,39527233.13,5570564.88,244808.48,0,0,5672720.74,653405.21,5595843.33,12269145.41,10781805.7,21715127.58,1857196.32,6178018.44,9278052.41,11144942.77,22557117.29,33116693.12,14167683.97,2777599.85,953350.29,17191037.83,13484775.45,10345945.8,9993568.14,1.54,0.48,1.54,13.73,3.65,10.55,19.39,13.29,12.11,3.7,2.35,0.51,4.49,7.67,9.77,5.34,3.15,30.01,61.48,9.7,28.38,4.05,0.64,17.32,77.48,10.92,0.48,0,0,11.12,1.28,10.97,24.05,21.13,42.57,3.64,12.11,18.19,21.85,44.22,64.92,27.77,5.44,1.87,33.7,26.43,20.28,19.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",474,"Puerto Rico, U.S.","PRI","overall","55+","2020-04-23",119,688002.9,1.68,1.68,1.68,12.61,6.72,8.4,16.81,17.65,5.04,4.24,2.52,1.68,7.56,7.69,5.88,2.56,100,11.02,65.55,6.78,15.13,0.85,1.68,10.92,82.35,5.88,0,0,0.84,10.92,0,8.4,16.81,13.45,61.34,2.52,7.56,14.29,23.53,52.1,53.78,33.61,5.88,6.72,11.76,35.29,21.85,31.09,596530.42,596530.42,596530.42,8328195.74,5078669.09,6566763.21,10740656.75,9591458.9,3231941.75,2149589.7,1477798.3,770227.6,4597268.84,5241794.03,3213939.68,1312111.6,921611.51,5771958.91,44235002.37,5624072.95,9741910.12,325978.77,875085.32,6050275.84,56458925.24,5010769.86,0,0,215545.76,7115049.3,0,5356049.21,9313284.31,9046593.53,45084363.11,1762513.27,4055707.17,9740673.9,13194127.22,40047268.61,34727568.3,23355124.55,4314295.61,6403301.71,7736405.06,23367102.25,15173287.54,22523495.31,0.87,0.87,0.87,12.1,7.38,9.54,15.61,13.94,4.7,3.12,2.15,1.12,6.68,7.62,4.67,1.91,1.34,8.39,64.29,8.17,14.16,0.47,1.27,8.79,82.06,7.28,0,0,0.31,10.34,0,7.78,13.54,13.15,65.53,2.56,5.89,14.16,19.18,58.21,50.48,33.95,6.27,9.31,11.24,33.96,22.05,32.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",475,"Puerto Rico, U.S.","PRI","overall","overall","2020-04-23",373,1688332.83,1.34,1.08,1.61,10.22,3.49,7.82,18.06,17.2,7.8,4.31,3.23,1.08,4.84,8.38,7.82,3.05,71.43,23.69,62.26,8.59,25.75,2.21,0.83,19.72,74.53,7.51,0.8,0,0.54,11.8,1.42,11.08,19.32,19.03,49.15,3.98,9.66,17.61,23.3,45.45,55.23,30.29,5.09,3.75,23.32,29.22,19.84,21.98,1637600.68,1097620.26,2162720.27,17889437.11,6943084.15,15902499.42,31906611.8,25136819.16,11878503.85,6439683.48,3913263.04,2115953.17,7999905.05,12374917.95,12192440.08,4036481.71,2530872.32,34835677.99,101194057.03,13667365.91,40396995.18,2918988.47,1200610.77,29032801.47,123159369.81,15962175.8,1421605.98,0,426666.89,18359389.83,1096548.5,16390141.73,27204375.34,28602253.8,85125566.76,4873598.09,13860802.11,26573075.4,33246332.32,79865078.2,90208444.52,51823732.24,8431017.2,7955692.17,34355500.85,49531006.81,33974085.98,40558292.49,0.97,0.65,1.28,10.6,4.11,9.42,18.9,14.89,7.04,3.81,2.32,1.25,4.74,7.33,7.22,2.39,1.5,20.63,59.94,8.1,23.93,1.73,0.71,17.2,72.95,9.45,0.84,0,0.25,10.87,0.65,9.71,16.11,16.94,50.42,2.89,8.21,15.74,19.69,47.3,53.43,30.7,4.99,4.71,20.35,29.34,20.12,24.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1235,"Puerto Rico, U.S.","PRI","female","18-34","2020-04-24",100,191432.76,0,0,0,10,5,13,25,14,4,3,10,0,5,19,6,3,100,14.43,41,5.05,28,2.04,2.02,23,72,3,4,0,0,21,9,11,18,22,40,6,17,18,22,37,63,27,7,3,30,29,23,18,0,0,0,2343469.91,896880.58,2347839.6,5196786.53,3073745.8,861747.43,658814.79,1935620.32,0,1057804.04,3484614.13,1478693.9,673241.9,178240.03,2479021.02,8145723.41,1386390.26,5323603.07,557822.51,437381.41,4126474.03,14874156.36,332527.11,663524.66,0,0,3273067.62,1814806.37,1750584.7,3923046.33,4657954.14,6996884.22,1112691.75,3072961.1,3422393.98,4204162.95,7331065.99,12544338.45,4916653.64,1242879.75,439403.92,5361403.58,6649820.11,4240717.63,2891334.44,0,0,0,12.24,4.69,12.26,27.15,16.06,4.5,3.44,10.11,0,5.53,18.2,7.72,3.52,0.93,12.95,42.55,7.24,27.81,2.91,2.28,21.56,77.7,1.74,3.47,0,0,17.1,9.48,9.14,20.49,24.33,36.55,5.81,16.05,17.88,21.96,38.3,65.53,25.68,6.49,2.3,28.01,34.74,22.15,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
