"","X","country_agg","GID_0","gender","age_bucket","date","total_responses","weight_sums","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_cli_weighted_sums","pct_ili_weighted_sums","pct_fever_weighted_sums","pct_cough_weighted_sums","pct_difficulty_breathing_weighted_sums","pct_fatigue_weighted_sums","pct_stuffy_runny_nose_weighted_sums","pct_aches_muscle_pain_weighted_sums","pct_sore_throat_weighted_sums","pct_chest_pain_weighted_sums","pct_nausea_weighted_sums","pct_anosmia_ageusia_weighted_sums","pct_eye_pain_weighted_sums","pct_headache_weighted_sums","pct_cmnty_sick_weighted_sums","pct_ever_tested_weighted_sums","pct_tested_recently_weighted_sums","pct_worked_outside_home_weighted_sums","pct_grocery_outside_home_weighted_sums","pct_ate_outside_home_weighted_sums","pct_spent_time_with_non_hh_weighted_sums","pct_attended_public_event_weighted_sums","pct_used_public_transit_weighted_sums","pct_direct_contact_with_non_hh_weighted_sums","pct_wear_mask_all_time_weighted_sums","pct_wear_mask_most_time_weighted_sums","pct_wear_mask_half_time_weighted_sums","pct_wear_mask_some_time_weighted_sums","pct_wear_mask_none_time_weighted_sums","pct_no_public_weighted_sums","pct_feel_nervous_all_time_weighted_sums","pct_feel_nervous_most_time_weighted_sums","pct_feel_nervous_some_time_weighted_sums","pct_feel_nervous_little_time_weighted_sums","pct_feel_nervous_none_time_weighted_sums","pct_feel_depressed_all_time_weighted_sums","pct_feel_depressed_most_time_weighted_sums","pct_feel_depressed_some_time_weighted_sums","pct_feel_depressed_little_time_weighted_sums","pct_feel_depressed_none_time_weighted_sums","pct_worried_ill_covid19_very_weighted_sums","pct_worried_ill_covid19_somewhat_weighted_sums","pct_worried_ill_covid19_notTooWorried_weighted_sums","pct_worried_ill_covid19_notWorried_weighted_sums","pct_enough_toEat_very_worried_weighted_sums","pct_enough_toEat_somewhat_worried_weighted_sums","pct_enough_toEat_notToo_worried_weighted_sums","pct_enough_toEat_not_worried_weighted_sums","pct_cli_weighted","pct_ili_weighted","pct_fever_weighted","pct_cough_weighted","pct_difficulty_breathing_weighted","pct_fatigue_weighted","pct_stuffy_runny_nose_weighted","pct_aches_muscle_pain_weighted","pct_sore_throat_weighted","pct_chest_pain_weighted","pct_nausea_weighted","pct_anosmia_ageusia_weighted","pct_eye_pain_weighted","pct_headache_weighted","pct_cmnty_sick_weighted","pct_ever_tested_weighted","pct_tested_recently_weighted","pct_worked_outside_home_weighted","pct_grocery_outside_home_weighted","pct_ate_outside_home_weighted","pct_spent_time_with_non_hh_weighted","pct_attended_public_event_weighted","pct_used_public_transit_weighted","pct_direct_contact_with_non_hh_weighted","pct_wear_mask_all_time_weighted","pct_wear_mask_most_time_weighted","pct_wear_mask_half_time_weighted","pct_wear_mask_some_time_weighted","pct_wear_mask_none_time_weighted","pct_no_public_weighted","pct_feel_nervous_all_time_weighted","pct_feel_nervous_most_time_weighted","pct_feel_nervous_some_time_weighted","pct_feel_nervous_little_time_weighted","pct_feel_nervous_none_time_weighted","pct_feel_depressed_all_time_weighted","pct_feel_depressed_most_time_weighted","pct_feel_depressed_some_time_weighted","pct_feel_depressed_little_time_weighted","pct_feel_depressed_none_time_weighted","pct_worried_ill_covid19_very_weighted","pct_worried_ill_covid19_somewhat_weighted","pct_worried_ill_covid19_notTooWorried_weighted","pct_worried_ill_covid19_notWorried_weighted","pct_enough_toEat_very_worried_weighted","pct_enough_toEat_somewhat_worried_weighted","pct_enough_toEat_notToo_worried_weighted","pct_enough_toEat_not_worried_weighted","pct_chills","pct_chills_weighted_sums","pct_chills_weighted","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_finances_very_worried_weighted_sums","pct_finances_somewhat_worried_weighted_sums","pct_finances_notToo_worried_weighted_sums","pct_finances_not_worried_weighted_sums","pct_finances_very_worried_weighted","pct_finances_somewhat_worried_weighted","pct_finances_notToo_worried_weighted","pct_finances_not_worried_weighted"
"1",553,"Taiwan","TWN","female","18-34","2020-04-23",56,2058881.25,0,0,0,12.5,0,21.43,35.71,12.5,1.79,0,0,0,5.36,14.29,5.36,0,NA,40,57.14,48.21,42.86,14.29,25,39.29,75,14.29,7.14,0,0,3.57,0,1.79,17.86,35.71,44.64,0,5.36,30.36,32.14,32.14,30.36,39.29,23.21,7.14,3.57,7.14,26.79,62.5,0,0,0,36913968.45,0,56405639.55,83883794.6,30826595.5,10401138.57,0,0,0,18927074.67,29405448.91,16650861.87,0,0,85024676.16,114064339.72,99473898.65,91390300.37,30524342.73,46180619.99,71838052.15,147846985.58,26704953.4,23989158.94,0,0,7347026.84,0,1929340.97,36327526.33,73241987.94,94389269.52,0,3792599.71,69263452.18,59344378.26,73487694.6,55631567.68,82385224.58,43701641.78,24169690.7,3252537.27,17734681.7,57389333.89,127511571.9,0,0,0,17.93,0,27.4,40.74,14.97,5.05,0,0,0,9.19,14.28,8.09,0,0,41.3,55.4,48.31,44.39,14.83,22.43,34.89,71.81,12.97,11.65,0,0,3.57,0,0.94,17.64,35.57,45.84,0,1.84,33.64,28.82,35.69,27.02,40.01,21.23,11.74,1.58,8.61,27.87,61.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",554,"Taiwan","TWN","female","overall","2020-04-23",105,6020585.52,0,0,0,9.62,0.96,22.86,24.04,13.33,0.96,0.96,0.96,0,4.81,14.42,4.76,0,NA,48.08,64.76,54.81,47.12,17.14,31.43,34.29,78.1,11.43,6.67,0,0.95,2.86,0.95,1.9,19.05,37.14,40.95,0,2.86,24.76,36.19,36.19,30.48,30.48,28.57,9.52,2.86,5.71,27.62,63.81,0,0,0,79137828.49,38274383.31,150390001.01,136705627.71,101894545.52,10401138.57,38274383.31,2919559.82,0,25513682.94,96645595,63307352.97,0,0,306740818.94,406044620.92,354844926.07,337305590.49,113984375,235269238.72,168022047.23,460398337.66,60446136.11,31632573.73,0,38274383.31,11307121.59,4082059.65,13671514.77,113404568.45,277581155.16,193319254.37,0,3792599.71,164595055.6,226572432.14,207098464.95,222781631.59,175461040.03,125268760.49,77517203.39,41526920.58,33509648.54,146913422.7,380108560.58,0,0,0,13.14,6.36,24.98,22.71,16.92,1.73,6.36,0.48,0,4.24,16.05,10.52,0,0,50.95,67.44,58.94,56.03,18.93,39.08,27.91,76.47,10.04,5.25,0,6.36,1.88,0.68,2.27,18.84,46.11,32.11,0,0.63,27.34,37.63,34.4,37,29.14,20.81,12.88,6.9,5.57,24.4,63.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",555,"Taiwan","TWN","male","18-34","2020-04-23",64,1448270.58,1.56,1.56,1.56,14.06,4.69,21.88,25,7.81,6.25,4.69,1.56,0,4.69,10.94,4.69,6.25,33.33,78.12,58.73,57.81,67.19,37.5,21.88,43.75,68.75,21.88,3.12,0,1.56,3.12,3.12,4.69,15.62,26.56,50,3.12,4.69,6.25,32.81,53.12,17.19,31.25,32.81,18.75,1.56,3.12,31.25,64.06,5796982.24,5796982.24,5796982.24,26774565.44,8558105.94,48971045.54,44422822.61,15865032.56,10466405.83,8987960.48,886761.77,0,14510330.87,36592228.32,6545281.05,6280088.74,887250.09,119583345.25,69605636.61,90509708.43,105303040.97,60322785.54,34150517.82,64772815.39,99823048.48,37367665.08,3622930.27,0,610469.44,2775702.31,1710220.43,4483900.07,45893779.22,32998861.39,59740296.43,1710220.43,4483900.07,17906178.33,47710826.03,73015932.68,30727351.38,60450912.77,37091897.71,16556895.7,846695.52,13308783.79,51694834.8,78976743.44,4,4,4,18.49,5.91,33.81,30.67,10.95,7.23,6.21,0.61,0,10.02,25.27,4.52,4.34,0.61,82.57,48.06,62.5,72.71,41.65,23.58,44.72,68.93,25.8,2.5,0,0.42,1.92,1.18,3.1,31.69,22.79,41.25,1.18,3.1,12.36,32.94,50.42,21.22,41.74,25.61,11.43,0.58,9.19,35.69,54.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",556,"Taiwan","TWN","male","overall","2020-04-23",121,4990433.56,0.83,0.83,0.83,9.92,3.31,16.53,19.01,7.44,4.96,3.31,0.83,0,2.48,6.61,4.96,3.31,33.33,73.55,65.83,60.33,60.33,37.19,23.97,36.67,70.25,21.49,4.96,0,0.83,1.65,1.65,4.13,15.7,34.71,43.8,1.65,4.96,12.4,39.67,41.32,17.36,34.71,33.88,14.05,2.48,4.96,29.75,62.81,5796982.24,5796982.24,5796982.24,65886454.26,12166693.15,99454251.34,91494330.64,38539978.1,21909068.6,15259018.51,886761.77,0,14510330.87,42863286.35,48877869.68,6280088.74,887250.09,323677443.96,375423124.26,311311337.08,298858463.88,214695060.39,107696086.71,133950047.2,369468625.35,103649142.57,21912173.98,0,610469.44,2775702.31,1710220.43,18389176.49,91874149.06,166521456.69,220548352.94,1710220.43,14691489.32,88457567.52,238220115.62,155963962.72,82400753.41,176141133.86,180989694.22,59511774.13,2610016.99,27348980.08,163502144.31,305582214.23,1.16,1.16,1.16,13.2,2.44,19.93,18.33,7.72,4.39,3.06,0.18,0,2.91,8.59,9.79,1.26,0.18,64.86,75.23,62.38,59.89,43.02,21.58,26.84,74.04,20.77,4.39,0,0.12,0.56,0.34,3.68,18.41,33.37,44.19,0.34,2.94,17.73,47.74,31.25,16.51,35.3,36.27,11.93,0.52,5.48,32.76,61.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",557,"Taiwan","TWN","overall","18-34","2020-04-23",122,3530070.8,0.82,0.82,0.82,13.11,2.46,22.13,29.51,9.84,4.92,2.46,0.82,0,5.74,13.11,4.92,3.28,33.33,61.16,57.85,53.28,55.74,27.05,23.77,41.8,72.13,18.03,4.92,0,0.82,3.28,1.64,3.28,16.39,31.15,47.54,1.64,4.92,18.03,32.79,42.62,22.95,35.25,28.69,13.11,2.46,4.92,29.51,63.11,5796982.24,5796982.24,5796982.24,63688533.88,8558105.94,105996344.27,128306617.22,46691628.05,22539782.5,8987960.48,886761.77,0,35109643.65,67669915.34,23196142.92,6280088.74,887250.09,206899918.69,185342214.43,191655845.18,198365579.45,91466787.46,80950797,137230526.72,249961931.34,64072618.48,27612089.21,0,610469.44,10122729.14,1710220.43,6413241.04,82221305.54,107913087.43,154749225.14,1710220.43,8276499.79,87789289.7,108727442.39,146503627.28,86358919.06,144508375.45,81413198.67,40726586.4,4099232.79,31043465.49,110756406.79,207107974.52,1.64,1.64,1.64,18.04,2.42,30.03,36.35,13.23,6.39,2.55,0.25,0,9.95,19.17,6.57,1.78,0.25,58.61,52.5,54.29,56.19,25.91,22.93,38.87,70.81,18.15,7.82,0,0.17,2.87,0.48,1.82,23.29,30.57,43.84,0.48,2.34,24.87,30.8,41.5,24.46,40.94,23.06,11.54,1.16,8.79,31.38,58.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",558,"Taiwan","TWN","overall","35-54","2020-04-23",92,6166417.7,0,0,0,6.52,2.17,18.48,11.96,11.96,2.17,2.17,1.09,0,2.17,8.7,5.43,0,NA,63.04,71.74,63.74,52.75,27.17,33.7,31.87,73.91,17.39,6.52,0,1.09,1.09,1.09,2.17,19.57,42.39,34.78,0,3.3,21.98,43.96,30.77,21.74,32.61,36.96,7.61,3.26,5.43,30.43,60.87,0,0,0,81335748.87,41882970.53,117979571.53,97445471.86,93742895.57,11442662.78,44545441.34,2919559.82,0,6586608.26,73511204.12,88989079.73,0,0,364781935.16,476482421.79,403358907.8,371249914.44,187203902.06,229472712.41,160393908.22,461541338.62,96453641.23,16412311.74,0,38274383.31,3960094.75,4082059.65,12466251.13,115032559.77,292317613.55,192743285.56,0,10207589.24,165882992.61,271001348.18,144153558.81,176535081.29,195376414.09,209363470.95,34336886.41,40037704.78,19848901.81,195886674.71,360868488.36,0,0,0,13.19,6.79,19.13,15.8,15.2,1.86,7.22,0.47,0,1.07,11.92,14.43,0,0,59.16,77.27,65.41,60.21,30.36,37.21,26.01,74.85,15.64,2.66,0,6.21,0.64,0.66,2.02,18.65,47.4,31.26,0,1.66,26.9,43.95,23.38,28.63,31.68,33.95,5.57,6.49,3.22,31.77,58.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",559,"Taiwan","TWN","overall","overall","2020-04-23",240,12047016.53,0.42,0.42,0.42,9.24,2.1,18.83,20.59,10.42,4.18,2.1,0.84,0,3.78,10.08,4.58,1.68,33.33,61.86,65.53,57.02,53.62,27.12,27.54,35.04,72.5,16.25,5.42,0,0.83,2.08,1.29,3,16.74,35.62,43.35,0.86,3.88,18.53,37.93,38.79,22.92,31.67,30.42,11.67,2.5,5,27.92,61.67,5796982.24,5796982.24,5796982.24,145024282.75,50441076.46,250463911.53,230155380.04,150622718.23,42487905.85,53533401.82,3806321.58,0,41696251.91,141181119.46,112185222.65,6280088.74,887250.09,693775034.01,864111477.77,698489095.5,650355994.9,329299094.57,349736523.73,308365933.2,907356175.19,169869458.26,53544747.71,0,38884852.76,14082823.9,5792280.08,32060691.26,205278717.51,451549029.55,487450178.86,1710220.43,18484089.03,256500668.57,488551019.01,391488619.38,330097004.41,359048591.58,332274394.71,159680989.65,44136937.57,60858628.63,317861984.7,759273346.36,0.48,0.48,0.48,12.04,4.19,20.79,19.1,12.5,3.53,4.44,0.32,0,3.46,11.72,9.31,0.52,0.07,57.59,71.73,57.98,53.98,27.33,29.03,25.6,75.32,14.1,4.44,0,3.23,1.17,0.48,2.66,17.04,37.48,40.46,0.14,1.53,21.29,40.55,32.5,27.4,29.8,27.58,13.25,3.66,5.05,26.39,63.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1376,"Taiwan","TWN","female","18-34","2020-04-24",590,2586764.39,0.17,0.17,0.85,13.73,1.53,26.61,22.2,14.07,6.95,1.86,3.73,0.17,5.25,13.9,4.07,2.04,42.86,62.03,53.31,52.12,56.29,26.87,28.86,42.44,82.37,12.88,3.39,0,0.17,1.19,0.68,2.04,22.49,38.16,36.63,1.02,3.58,19.93,35.43,40.03,32.37,29.83,28.47,8.98,3.22,5.59,39.83,51.36,277130.76,277130.76,1737973.1,31391575.27,2432092.58,67254167.58,52069952.96,39267170.44,18912637.75,3580094.38,6196122.38,448210.88,14541532.89,29463849.9,8427819.24,7115651.95,2217875.38,137704412.12,121637890.88,115691272.78,128641229.08,55742238.19,67943787.96,93317209.51,210854864.63,31566749.09,12030377.86,0,277130.76,3947316.2,1001346.63,20017030.52,61746862.14,86790695.39,88372365.98,2482369.02,6565891.66,71314737.58,81340306.62,96224995.78,83941794.21,65708450.29,83969787.29,24585399.61,8933216.91,16657941.46,114896840.74,118188439.44,0.11,0.11,0.67,12.14,0.94,26,20.13,15.18,7.31,1.38,2.4,0.17,5.62,11.39,3.26,2.75,0.86,53.23,47.02,44.72,49.73,21.55,26.27,36.07,81.51,12.2,4.65,0,0.11,1.53,0.39,7.74,23.87,33.55,34.16,0.96,2.54,27.57,31.44,37.2,32.45,25.4,32.46,9.5,3.45,6.44,44.42,45.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1377,"Taiwan","TWN","female","35-54","2020-04-24",517,3873015.37,0.19,0.19,0.19,9.53,0.78,16.18,13.98,9.73,5.06,1.36,1.17,0.19,3.12,9.34,4.65,1.37,0,59.73,68.1,54.6,58.98,20.78,21.14,35.66,82.21,13.15,3.48,0,0.19,0.97,0.78,2.14,20.04,37.94,39.11,0.78,2.14,20.43,35.21,41.44,22.63,28.43,35.78,12.57,1.55,6.38,31.72,60.35,399625.7,399625.7,399625.7,31659010.89,1153092.6,47468283.19,44620805.03,30273535.45,18673464.11,4483044.85,3607138.54,410471.22,7708511.26,41627216.63,16763294.06,3444794.19,0,225093877.51,284227058.75,230287015.03,206380267.56,71333156.09,80764058.95,161669965.31,316673757.42,49922994.21,16617397.87,0,241028.8,3846358.66,1780775.56,10050205.17,67340933.99,157969454.17,146434005.89,3994056.06,5630978.24,74654760.81,114465960.4,184829619.28,89003009.44,81021345.03,135896476.59,77654543.72,5652996.7,26386082.53,100513354.59,254749103.14,0.1,0.1,0.1,8.17,0.3,12.26,11.52,7.82,4.82,1.16,0.93,0.11,1.99,10.75,4.33,0.89,0,58.12,73.39,59.46,53.29,18.42,20.85,41.74,81.76,12.89,4.29,0,0.06,0.99,0.46,2.59,17.39,40.79,37.81,1.03,1.45,19.28,29.55,47.72,22.98,20.92,35.09,20.05,1.46,6.81,25.95,65.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1378,"Taiwan","TWN","female","55+","2020-04-24",95,1924206.53,1.05,1.05,1.05,5.26,0,9.47,8.42,6.32,3.16,1.05,4.21,0,1.05,5.26,1.05,0,NA,38.95,67.02,44.09,34.04,19.15,22.34,28.72,85.26,9.47,0,0,1.05,4.21,1.06,3.19,12.77,36.17,46.81,0,1.06,13.83,32.98,52.13,18.95,23.16,40,16.84,1.05,4.21,25.26,69.47,950606.6,950606.6,950606.6,5876612.96,0,7127629.49,13950137.94,7325830.22,4391418.28,2668835.59,4562327.5,0,652313.29,4309395.77,1380103.71,0,0,63414751.67,106324518.81,71750585.79,59817429.4,29014778.79,47885516.3,54014657.75,162857201.86,18426030.82,0,0,277130.76,10860289.74,2402466.48,4442028.92,25081758.95,48221294.66,111322497.56,0,2668835.59,27123859.59,39438693.74,122238657.65,34361750.39,37812174.03,66672428.89,52623693.27,2569613.9,7640875.15,36610179.7,145599984.44,0.49,0.49,0.49,3.05,0,3.7,7.25,3.81,2.28,1.39,2.37,0,0.34,2.24,0.72,0,0,32.96,55.26,37.29,31.09,15.08,24.89,28.07,84.64,9.58,0,0,0.14,5.64,1.25,2.31,13.03,25.06,57.85,0,1.39,14.1,20.5,63.53,17.86,19.65,34.65,27.35,1.34,3.97,19.03,75.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
