"","shift","correlations","pval","win_size","signal","country"
"1",17,0.389740560934573,1.16755149554587e-08,199,"pct_fever","AE"
"2",15,0.398461448544741,4.27720038185871e-09,201,"pct_cough","AE"
"3",7,0.207669672392684,0.00302070028179933,201,"pct_difficulty_breathing","AE"
"4",15,0.265266586999319,0.000136002227446153,201,"pct_fatigue","AE"
"5",23,0.356736711172996,3.29667100615544e-07,193,"pct_stuffy_runny_nose","AE"
"6",9,0.31422316572411,5.26057899839789e-06,201,"pct_aches_muscle_pain","AE"
"7",16,0.272283265883122,9.2164035720224e-05,200,"pct_sore_throat","AE"
"8",54,-0.254650110036262,0.00103665438188206,162,"pct_chest_pain","AE"
"9",13,0.214363427762625,0.00218792780838203,201,"pct_nausea","AE"
"10",7,0.433627650691024,1.14490219160363e-10,201,"pct_anosmia_ageusia","AE"
"11",7,0.295084470700505,2.01493158540428e-05,201,"pct_eye_pain","AE"
"12",12,0.377940192536523,3.17789725597041e-08,201,"pct_headache","AE"
"13",7,0.559275205214679,5.10128386093738e-18,201,"pct_cmnty_sick","AE"
"14",60,0.399449770580381,2.18953362050718e-07,156,"pct_ever_tested","AE"
"15",49,0.363548992960153,1.27423772425478e-06,167,"pct_tested_recently","AE"
"16",59,0.331627045334275,2.07677231147776e-05,157,"pct_worked_outside_home","AE"
"17",9,-0.341577151516541,6.52317913004613e-07,201,"pct_grocery_outside_home","AE"
"18",60,0.351972927954144,6.17016898093287e-06,156,"pct_ate_outside_home","AE"
"19",8,-0.333314256913495,1.25205429433306e-06,201,"pct_spent_time_with_non_hh","AE"
"20",9,-0.342272847602423,6.1693930416827e-07,201,"pct_attended_public_event","AE"
"21",7,-0.386830493034932,1.29505667176056e-08,201,"pct_used_public_transit","AE"
"22",9,-0.330693247279171,1.53369292589728e-06,201,"pct_direct_contact_with_non_hh","AE"
"23",8,-0.187684314778699,0.00747843889198609,201,"pct_wear_mask_all_time","AE"
"24",7,-0.288874266878623,3.05358243976931e-05,201,"pct_wear_mask_most_time","AE"
"25",31,-0.193245701286856,0.00822452182403629,185,"pct_wear_mask_half_time","AE"
"26",16,-0.216522327100959,0.0020198630119987,200,"pct_wear_mask_some_time","AE"
"27",11,0.232004745369184,0.000892486995719512,201,"pct_wear_mask_none_time","AE"
"28",9,0.330994058957955,1.49853489158077e-06,201,"pct_no_public","AE"
"29",39,-0.184969104598811,0.0134443556821319,177,"pct_feel_nervous_all_time","AE"
"30",43,-0.203370368139024,0.00711335876082353,173,"pct_feel_nervous_most_time","AE"
"31",8,0.293564073961489,2.23280681377183e-05,201,"pct_feel_nervous_some_time","AE"
