"signal","abs_error"
"pct_cli",69.1805622518545
"pct_ili",70.6828022350091
"pct_fever",68.8798997176317
"pct_cough",70.8203489516658
"pct_difficulty_breathing",75.0644958920532
"pct_fatigue",71.5320082391102
"pct_stuffy_runny_nose",71.4844543011536
"pct_aches_muscle_pain",69.3230085936611
"pct_sore_throat",69.3875030578999
"pct_chest_pain",67.4585419497893
"pct_nausea",71.7828381939695
"pct_anosmia_ageusia",69.8682807884602
"pct_eye_pain",68.737752718928
"pct_headache",67.7778138770208
"pct_cmnty_sick",60.9014942958295
"pct_ever_tested",85.3696959709757
"pct_tested_recently",67.0374636516487
"pct_worked_outside_home",72.0118422676501
"pct_grocery_outside_home",71.2898626970186
"pct_ate_outside_home",100.142693349116
"pct_spent_time_with_non_hh",86.4796087965933
"pct_attended_public_event",97.9434683523243
"pct_used_public_transit",91.386538132967
"pct_direct_contact_with_non_hh",83.8497224120476
"pct_wear_mask_all_time",76.4980105553129
"pct_wear_mask_most_time",72.4723612286996
"pct_wear_mask_half_time",69.753758111986
"pct_wear_mask_some_time",71.4867801333405
"pct_wear_mask_none_time",74.5567440092524
"pct_no_public",58.3855229053799
"pct_feel_nervous_all_time",65.098074627642
"pct_feel_nervous_most_time",64.341203965849
"pct_feel_nervous_some_time",67.2191200597113
"pct_feel_nervous_little_time",69.0787335269336
"pct_feel_nervous_none_time",71.0717782403655
"pct_feel_depressed_all_time",68.0049239323468
"pct_feel_depressed_most_time",64.4774298711276
"pct_feel_depressed_some_time",66.9586764159163
"pct_feel_depressed_little_time",67.2728182503462
"pct_feel_depressed_none_time",71.9539226196722
"pct_worried_ill_covid19_very",67.2119121618624
"pct_worried_ill_covid19_somewhat",69.6067831367562
"pct_worried_ill_covid19_notTooWorried",72.4339313847316
"pct_worried_ill_covid19_notWorried",74.4448094363998
"pct_enough_toEat_very_worried",69.4552459322941
"pct_enough_toEat_somewhat_worried",69.2831789247123
"pct_enough_toEat_notToo_worried",67.9675359322043
"pct_enough_toEat_not_worried",70.2741203954412
"pct_chills",71.9945066108927
"pct_finances_very_worried",NA
"pct_finances_somewhat_worried",NA
"pct_finances_notToo_worried",NA
"pct_finances_not_worried",NA
"population",81.9713728626479
"number_signal_pct",87.0057396652871
"batched_pct_cli",67.6695488621105
"batched_pct_cli_smooth",67.3467052327551
"batched_pct_cli_smooth_low",77.7114414052526
"batched_pct_cli_smooth_high",65.2242623256276
"pct_cli_smooth",65.2431531750179
"pct_cli_smooth_low",129.341091210423
"pct_cli_smooth_high",72.7679115313801
"batched_pct_ili",67.454474566059
"batched_pct_ili_smooth",66.5043263758493
"batched_pct_ili_smooth_low",77.1408912665512
"batched_pct_ili_smooth_high",64.9800833199151
"pct_ili_smooth",66.0421792990499
"pct_ili_smooth_low",78.1716580646056
"pct_ili_smooth_high",63.9520067642257
"batched_pct_fever",66.9640676336075
"batched_pct_fever_smooth",67.6340834655345
"batched_pct_fever_smooth_low",73.0826000776567
"batched_pct_fever_smooth_high",66.4122675279529
"pct_fever_smooth",65.2437561830625
"pct_fever_smooth_low",70.7962541611837
"pct_fever_smooth_high",63.0977797310636
"batched_pct_cough",70.8556830525118
"batched_pct_cough_smooth",69.5545040341803
"batched_pct_cough_smooth_low",70.1122547384443
"batched_pct_cough_smooth_high",69.1469631318377
"pct_cough_smooth",70.0217736103119
"pct_cough_smooth_low",70.8637025251574
"pct_cough_smooth_high",69.4980379629427
"batched_pct_difficulty_breathing",74.7089586233401
"batched_pct_difficulty_breathing_smooth",70.831197959023
"batched_pct_difficulty_breathing_smooth_low",72.2854058614947
"batched_pct_difficulty_breathing_smooth_high",69.7593640162191
"pct_difficulty_breathing_smooth",71.9143723933596
"pct_difficulty_breathing_smooth_low",74.0837877080623
"pct_difficulty_breathing_smooth_high",70.2549269351324
"batched_pct_fatigue",71.2364804829527
"batched_pct_fatigue_smooth",70.243969970974
"batched_pct_fatigue_smooth_low",70.7032307081853
"batched_pct_fatigue_smooth_high",69.9582313974538
