"date","total_responses","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_chills","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_cli_past_smooth","pct_ili_past_smooth","pct_fever_past_smooth","pct_cough_past_smooth","pct_difficulty_breathing_past_smooth","pct_fatigue_past_smooth","pct_stuffy_runny_nose_past_smooth","pct_aches_muscle_pain_past_smooth","pct_sore_throat_past_smooth","pct_chest_pain_past_smooth","pct_nausea_past_smooth","pct_anosmia_ageusia_past_smooth","pct_eye_pain_past_smooth","pct_headache_past_smooth","pct_cmnty_sick_past_smooth","pct_ever_tested_past_smooth","pct_worked_outside_home_past_smooth","pct_grocery_outside_home_past_smooth","pct_ate_outside_home_past_smooth","pct_spent_time_with_non_hh_past_smooth","pct_attended_public_event_past_smooth","pct_used_public_transit_past_smooth","pct_direct_contact_with_non_hh_past_smooth","pct_wear_mask_all_time_past_smooth","pct_wear_mask_most_time_past_smooth","pct_wear_mask_half_time_past_smooth","pct_wear_mask_none_time_past_smooth","pct_no_public_past_smooth","pct_feel_nervous_all_time_past_smooth","pct_feel_nervous_most_time_past_smooth","pct_feel_nervous_some_time_past_smooth","pct_feel_nervous_little_time_past_smooth","pct_feel_nervous_none_time_past_smooth","pct_feel_depressed_all_time_past_smooth","pct_feel_depressed_most_time_past_smooth","pct_feel_depressed_some_time_past_smooth","pct_feel_depressed_little_time_past_smooth","pct_feel_depressed_none_time_past_smooth","pct_worried_ill_covid19_very_past_smooth","pct_worried_ill_covid19_somewhat_past_smooth","pct_worried_ill_covid19_notTooWorried_past_smooth","pct_worried_ill_covid19_notWorried_past_smooth","pct_enough_toEat_very_worried_past_smooth","pct_enough_toEat_somewhat_worried_past_smooth","pct_enough_toEat_notToo_worried_past_smooth","pct_enough_toEat_not_worried_past_smooth","population"
2020-04-23,56,3.64,3.64,5.45,16.36,7.27,25,16.36,14.29,9.09,9.09,3.64,5.45,9.09,14.55,16.07,3.64,0,62.5,74.07,26.92,50,5.66,13.21,50.91,58.93,26.79,3.57,0,3.57,5.36,3.7,3.7,9.26,27.78,55.56,1.85,3.7,9.26,35.19,50,39.29,25,17.86,14.29,16.07,19.64,25,35.71,NA,NA,NA,NA,NA,3.64,3.64,5.45,16.36,7.27,25,16.36,14.29,9.09,9.09,3.64,5.45,9.09,14.55,16.07,3.64,62.5,74.07,26.92,50,5.66,13.21,50.91,58.93,26.79,3.57,3.57,5.36,3.7,3.7,9.26,27.78,55.56,1.85,3.7,9.26,35.19,50,39.29,25,17.86,14.29,16.07,19.64,25,35.71,26969306
2020-05-19,65,1.56,1.56,3.12,15.38,0,25,20.31,12.5,3.12,3.12,3.12,4.69,4.69,7.81,13.85,7.69,75,64.52,66.13,27.42,50.79,20.97,20.63,43.55,73.85,7.69,3.08,1.54,3.08,4.62,0,0,10.34,22.41,67.24,3.45,1.72,5.17,20.69,68.97,24.62,32.31,18.46,13.85,27.69,12.31,16.92,32.31,4.69,NA,NA,NA,NA,1.56,1.56,3.12,15.38,0,25,20.31,12.5,3.12,3.12,3.12,4.69,4.69,7.81,13.85,7.69,64.52,66.13,27.42,50.79,20.97,20.63,43.55,73.85,7.69,3.08,3.08,4.62,0,0,10.34,22.41,67.24,3.45,1.72,5.17,20.69,68.97,24.62,32.31,18.46,13.85,27.69,12.31,16.92,32.31,26969306
2020-05-20,54,5.56,5.56,5.56,25.93,9.43,37.04,24.07,27.78,11.11,9.26,11.11,3.77,7.55,18.52,18.87,13.46,25,63.46,70.59,36.54,52.94,19.61,27.45,39.22,59.26,24.07,0,3.7,0,5.56,4.08,0,16.33,20.41,59.18,2.04,6.12,14.29,16.33,61.22,38.89,35.19,12.96,3.7,29.63,24.07,16.67,20.37,11.11,NA,NA,NA,NA,5.56,5.56,5.56,25.93,9.43,37.04,24.07,27.78,11.11,9.26,11.11,3.77,7.55,18.52,18.87,13.46,63.46,70.59,36.54,52.94,19.61,27.45,39.22,59.26,24.07,0,0,5.56,4.08,0,16.33,20.41,59.18,2.04,6.12,14.29,16.33,61.22,38.89,35.19,12.96,3.7,29.63,24.07,16.67,20.37,26969306
2020-05-26,50,0,0,0,12.5,4.17,27.08,20.83,2.08,6.25,2.08,4.17,4.17,4.17,18.75,8,2,NA,61.22,75.51,30.61,46.94,12.24,20.41,48,78,14,4,2,0,0,2.17,6.52,10.87,28.26,52.17,0,8.7,13.04,30.43,47.83,44,20,16,12,20,20,26,26,8.16,NA,NA,NA,NA,0,0,0,12.5,4.17,27.08,20.83,2.08,6.25,2.08,4.17,4.17,4.17,18.75,8,2,61.22,75.51,30.61,46.94,12.24,20.41,48,78,14,4,0,0,2.17,6.52,10.87,28.26,52.17,0,8.7,13.04,30.43,47.83,44,20,16,12,20,20,26,26,26969306
2020-05-27,51,6,6,10,12,2,30,24,22,10,10,12,4,20,24,17.65,2.04,100,67.35,69.39,42.86,59.18,28.57,28.57,57.14,62.75,19.61,3.92,5.88,3.92,0,0,4.17,16.67,27.08,52.08,4.26,4.26,10.64,19.15,61.7,35.29,33.33,15.69,9.8,21.57,15.69,27.45,29.41,13.73,NA,NA,NA,NA,6,6,10,12,2,30,24,22,10,10,12,4,20,24,17.65,2.04,67.35,69.39,42.86,59.18,28.57,28.57,57.14,62.75,19.61,3.92,3.92,0,0,4.17,16.67,27.08,52.08,4.26,4.26,10.64,19.15,61.7,35.29,33.33,15.69,9.8,21.57,15.69,27.45,29.41,26969306
2020-05-29,54,1.89,1.89,1.89,14.81,1.89,28.3,16.67,18.87,5.66,3.77,0,1.89,5.66,22.22,20.37,0,NA,60.78,67.31,23.53,54.9,14,23.53,40.38,79.63,7.41,1.85,0,0,5.56,0,2,8,34,56,2,4,4,36,54,48.15,31.48,11.11,0,25.93,22.22,22.22,22.22,1.89,NA,NA,NA,NA,1.89,1.89,1.89,14.81,1.89,28.3,16.67,18.87,5.66,3.77,0,1.89,5.66,22.22,20.37,0,60.78,67.31,23.53,54.9,14,23.53,40.38,79.63,7.41,1.85,0,5.56,0,2,8,34,56,2,4,4,36,54,48.15,31.48,11.11,0,25.93,22.22,22.22,22.22,26969306
2020-05-30,54,3.85,3.85,3.85,17.31,3.85,26.42,25,13.46,5.77,7.69,5.77,1.92,5.77,17.31,12.96,3.77,0,57.14,71.43,32.65,53.06,14.29,22.45,53.06,68.52,5.56,7.41,1.85,1.85,3.7,2.13,2.13,0,38.3,57.45,2.13,0,8.51,17.02,72.34,40.74,18.52,18.52,9.26,22.22,20.37,22.22,22.22,7.69,NA,NA,NA,NA,3.85,3.85,3.85,17.31,3.85,26.42,25,13.46,5.77,7.69,5.77,1.92,5.77,17.31,12.96,3.77,57.14,71.43,32.65,53.06,14.29,22.45,53.06,68.52,5.56,7.41,1.85,3.7,2.13,2.13,0,38.3,57.45,2.13,0,8.51,17.02,72.34,40.74,18.52,18.52,9.26,22.22,20.37,22.22,22.22,26969306
2020-06-01,51,2.04,2.04,4.08,16,2.04,22,24,16.33,12.24,6.12,2.04,2.04,8,21.57,12,4.17,NA,45.65,71.74,28.26,62.22,20,24.44,45.65,70.59,9.8,5.88,0,0,1.96,0,4.55,9.09,15.91,70.45,0,0,13.64,27.27,59.09,25.49,31.37,13.73,15.69,13.73,17.65,21.57,33.33,8.16,NA,NA,NA,NA,2.04,2.04,4.08,16,2.04,22,24,16.33,12.24,6.12,2.04,2.04,8,21.57,12,4.17,45.65,71.74,28.26,62.22,20,24.44,45.65,70.59,9.8,5.88,0,1.96,0,4.55,9.09,15.91,70.45,0,0,13.64,27.27,59.09,25.49,31.37,13.73,15.69,13.73,17.65,21.57,33.33,26969306
2020-06-30,54,1.85,3.7,3.7,16.67,7.41,29.63,27.78,24.07,3.7,1.85,3.7,5.56,11.11,25.93,19.23,11.76,66.67,63.83,72.34,41.3,48.94,31.91,29.79,50,61.11,22.22,1.85,1.85,0,0,0,2.13,19.15,38.3,40.43,0,8.51,10.64,34.04,46.81,46.3,22.22,11.11,3.7,18.52,22.22,29.63,12.96,11.11,40,33.33,20,6.67,1.85,3.7,3.7,16.67,7.41,29.63,27.78,24.07,3.7,1.85,3.7,5.56,11.11,25.93,19.23,11.76,63.83,72.34,41.3,48.94,31.91,29.79,50,61.11,22.22,1.85,0,0,0,2.13,19.15,38.3,40.43,0,8.51,10.64,34.04,46.81,46.3,22.22,11.11,3.7,18.52,22.22,29.63,12.96,26969306
2020-07-14,65,3.17,3.17,3.17,28.12,9.68,21.88,26.56,15.38,15.62,11.29,4.84,9.52,9.38,20.31,30.77,9.23,100,33.85,60,26.15,39.06,7.81,7.69,33.85,72.31,15.38,4.62,1.54,0,6.15,3.23,4.84,9.68,41.94,40.32,3.17,4.76,19.05,39.68,33.33,46.15,36.92,4.62,3.08,18.46,20,24.62,32.31,6.35,33.87,33.87,22.58,9.68,3.17,3.17,3.17,28.12,9.68,21.88,26.56,15.38,15.62,11.29,4.84,9.52,9.38,20.31,30.77,9.23,33.85,60,26.15,39.06,7.81,7.69,33.85,72.31,15.38,4.62,0,6.15,3.23,4.84,9.68,41.94,40.32,3.17,4.76,19.05,39.68,33.33,46.15,36.92,4.62,3.08,18.46,20,24.62,32.31,26969306
