"date","total_responses","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_chills","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","population"
2020-05-21,74,5.8,5.8,10.14,14.08,1.45,20.29,11.59,15.71,2.9,5.8,5.8,8.57,11.59,30.14,16.22,11.11,80,55.71,66.18,32.35,65.22,25,45.59,53.52,28.38,29.73,10.81,2.7,13.51,2.7,0,3.17,12.7,23.81,60.32,1.59,3.17,7.94,14.29,73.02,33.78,22.97,2.7,22.97,21.62,21.62,12.16,28.38,4.35,NA,NA,NA,NA,86790568
2020-05-22,53,2,2,8,12.24,8.16,29.41,18.75,10.2,4.08,14,4.08,6.12,8.16,22,9.43,16.98,25,60.78,70,28,60,22,45.1,43.14,32.08,30.19,11.32,7.55,7.55,1.89,0,2.33,9.3,18.6,69.77,0,0,13.95,20.93,65.12,32.08,16.98,3.77,28.3,32.08,11.32,13.21,24.53,4.17,NA,NA,NA,NA,86790568
2020-05-26,56,5.56,3.7,11.11,13.21,0,24.53,16.98,15.09,11.11,3.77,7.41,7.55,5.66,22.22,14.29,26.42,66.67,50.94,56.6,20.75,47.17,13.21,37.74,41.51,35.71,23.21,14.29,10.71,3.57,5.36,4,4,10,26,56,1.96,7.84,1.96,19.61,68.63,46.43,17.86,8.93,17.86,32.14,17.86,16.07,25,9.26,NA,NA,NA,NA,86790568
2020-05-28,71,8.96,8.96,17.91,18.84,9.09,32.84,23.88,22.73,11.94,14.93,10.61,11.94,10.61,29.41,25.71,16.42,75,71.88,57.81,39.06,56.25,30.77,39.06,53.03,28.17,18.31,21.13,2.82,14.08,4.23,4.92,6.56,11.48,11.48,65.57,5,1.67,8.33,25,60,35.21,18.31,12.68,18.31,36.62,16.9,8.45,19.72,18.18,NA,NA,NA,NA,86790568
2020-05-29,58,5.56,5.56,7.41,8.93,7.41,27.78,16.67,14.55,9.26,9.26,11.11,7.41,11.11,20,17.24,17.86,50,66.04,55.77,43.14,67.92,37.25,50.94,50.94,43.1,22.41,5.17,6.9,10.34,0,2.17,0,6.52,28.26,63.04,4.35,2.17,13.04,17.39,63.04,44.83,10.34,6.9,18.97,31.03,12.07,17.24,22.41,5.56,NA,NA,NA,NA,86790568
2020-05-30,59,3.45,3.45,8.62,15.25,6.9,20.69,13.56,11.86,5.17,10.34,5.17,15.25,12.07,22.41,13.56,13.79,75,55.56,67.92,20.75,61.11,18.18,38.18,54.55,27.12,25.42,13.56,3.39,20.34,1.69,6,4,8,22,60,3.92,5.88,9.8,23.53,56.86,40.68,18.64,11.86,13.56,32.2,20.34,11.86,23.73,10.34,NA,NA,NA,NA,86790568
2020-05-31,74,2.78,2.78,6.94,16.67,1.39,29.73,9.72,6.94,6.94,8.22,1.39,5.56,9.72,23.29,12.33,8.57,100,60,56.52,20,67.14,20,41.43,47.06,24.32,33.78,12.16,4.05,6.76,5.41,0,3.23,6.45,24.19,66.13,0,1.64,13.11,19.67,65.57,48.65,13.51,4.05,17.57,25.68,28.38,10.81,18.92,4.17,NA,NA,NA,NA,86790568
2020-06-02,80,6.49,5.19,11.69,17.95,6.49,23.08,11.54,18.18,12.99,12.99,7.79,15.19,7.69,30.77,18.75,11.25,50,56.96,60.26,25.64,63.29,20.51,42.31,49.35,35,26.25,10,6.25,11.25,2.5,0,4.35,7.25,13.04,75.36,0,4.35,7.25,23.19,65.22,41.25,17.5,18.75,10,27.5,25,12.5,25,5.19,NA,NA,NA,NA,86790568
2020-07-28,53,1.92,1.92,9.62,11.54,0,21.15,15.38,21.15,3.85,9.62,1.92,1.92,7.69,19.23,15.38,19.23,70,67.35,47.92,41.67,42.86,16.67,43.75,38,39.62,33.96,7.55,1.89,3.77,1.89,2.33,0,11.63,27.91,58.14,4.44,0,11.11,26.67,57.78,30.19,16.98,13.21,13.21,15.09,20.75,13.21,30.19,1.92,42.86,23.81,19.05,14.29,86790568
2020-08-06,50,8.16,8.16,14.29,18.75,4.17,12.5,8.33,12.5,6.25,6.25,2.08,2.08,8.33,20.83,16,30,60,62,64,46.94,58,26,50,52,38,28,16,8,6,0,0,2.08,8.33,35.42,54.17,2.04,0,10.2,24.49,63.27,38,16,16,18,16,20,18,38,4.17,34.78,23.91,19.57,21.74,86790568
